TIMESTAMP,CATS32936_OPEN_PRICE_USD,CATS32936_HIGH_PRICE_USD,CATS32936_LOW_PRICE_USD,CATS32936_CLOSE_PRICE_USD,CATS32936_VOLUME_USD,CATS32936_DIVIDENDS_USD,CATS32936_STOCK_SPLITS_USD
2024-09-05 00:00:00+00:00,4.70000013592653e-05,9.999999747378752e-05,3.5000000934815034e-05,7.500000356230885e-05,210678,0.0,0.0
2024-09-06 00:00:00+00:00,7.500000356230885e-05,7.500000356230885e-05,1.700000029813964e-05,1.700000029813964e-05,74200,0.0,0.0
2024-09-07 00:00:00+00:00,1.700000029813964e-05,4.099999932805076e-05,1.4000000192027073e-05,2.700000004551839e-05,32641,0.0,0.0
2024-09-08 00:00:00+00:00,2.700000004551839e-05,2.9000000722589903e-05,1.700000029813964e-05,1.8999999156221747e-05,17759,0.0,0.0
2024-09-09 00:00:00+00:00,1.8999999156221747e-05,1.8999999156221747e-05,1.1000000085914508e-05,1.2999999853491317e-05,18789,0.0,0.0
2024-09-10 00:00:00+00:00,1.2999999853491317e-05,2.8000000384054147e-05,1.2999999853491317e-05,2.700000004551839e-05,6437,0.0,0.0
2024-09-11 00:00:00+00:00,2.700000004551839e-05,2.8000000384054147e-05,1.4000000192027073e-05,1.5999999959603883e-05,5453,0.0,0.0
2024-09-12 00:00:00+00:00,1.5999999959603883e-05,2.099999983329326e-05,1.4000000192027073e-05,1.9999999494757503e-05,2725,0.0,0.0
2024-09-13 00:00:00+00:00,1.9999999494757503e-05,2.8000000384054147e-05,1.8000000636675395e-05,2.099999983329326e-05,5258,0.0,0.0
2024-09-14 00:00:00+00:00,2.099999983329326e-05,2.2000000171829015e-05,1.5999999959603883e-05,1.8999999156221747e-05,3579,0.0,0.0
2024-09-15 00:00:00+00:00,1.8999999156221747e-05,1.9999999494757503e-05,1.5999999959603883e-05,1.700000029813964e-05,885,0.0,0.0
2024-09-16 00:00:00+00:00,1.700000029813964e-05,1.700000029813964e-05,1.4000000192027073e-05,1.4999999621068127e-05,1607,0.0,0.0
2024-09-17 00:00:00+00:00,1.4999999621068127e-05,1.700000029813964e-05,1.4999999621068127e-05,1.5999999959603883e-05,1169,0.0,0.0
