TIMESTAMP,BMONEY_OPEN_PRICE_USD,BMONEY_HIGH_PRICE_USD,BMONEY_LOW_PRICE_USD,BMONEY_CLOSE_PRICE_USD,BMONEY_VOLUME_USD,BMONEY_DIVIDENDS_USD,BMONEY_STOCK_SPLITS_USD
2024-06-15 00:00:00+00:00,,,,0.0,117855,0.0,0.0
2024-06-16 00:00:00+00:00,,,,0.0,192028,0.0,0.0
2024-06-17 00:00:00+00:00,,,,0.0,255884,0.0,0.0
2024-06-18 00:00:00+00:00,,,,0.0,132377,0.0,0.0
2024-06-19 00:00:00+00:00,,,,0.0,104709,0.0,0.0
2024-06-20 00:00:00+00:00,,,,0.0,57036,0.0,0.0
2024-06-21 00:00:00+00:00,,,,0.0,60416,0.0,0.0
2024-06-22 00:00:00+00:00,,,,0.0,24399,0.0,0.0
2024-06-23 00:00:00+00:00,,,,0.0,39615,0.0,0.0
2024-06-24 00:00:00+00:00,,,,0.0,26443,0.0,0.0
2024-06-25 00:00:00+00:00,,,,0.0,61083,0.0,0.0
2024-06-26 00:00:00+00:00,,,,0.0,33498,0.0,0.0
2024-06-27 00:00:00+00:00,,,,0.0,40958,0.0,0.0
2024-06-28 00:00:00+00:00,,,,0.0,23878,0.0,0.0
2024-06-29 00:00:00+00:00,,,,0.0,114504,0.0,0.0
2024-06-30 00:00:00+00:00,,,,0.0,60133,0.0,0.0
2024-07-01 00:00:00+00:00,,,,0.0,65411,0.0,0.0
2024-07-02 00:00:00+00:00,,,,0.0,167956,0.0,0.0
2024-07-03 00:00:00+00:00,,,,0.0,38828,0.0,0.0
2024-07-04 00:00:00+00:00,,,,0.0,26264,0.0,0.0
2024-07-05 00:00:00+00:00,,,,0.0,27119,0.0,0.0
2024-07-06 00:00:00+00:00,,,,0.0,39988,0.0,0.0
2024-07-07 00:00:00+00:00,,,,0.0,24571,0.0,0.0
2024-07-08 00:00:00+00:00,,,,0.0,25775,0.0,0.0
2024-07-09 00:00:00+00:00,,,,0.0,7425,0.0,0.0
2024-07-10 00:00:00+00:00,,,,0.0,11697,0.0,0.0
2024-07-11 00:00:00+00:00,,,,0.0,10548,0.0,0.0
2024-07-12 00:00:00+00:00,,,,0.0,3850,0.0,0.0
2024-07-13 00:00:00+00:00,,,,0.0,6330,0.0,0.0
2024-07-14 00:00:00+00:00,,,,0.0,2848,0.0,0.0
2024-07-15 00:00:00+00:00,,,,0.0,22399,0.0,0.0
2024-07-16 00:00:00+00:00,,,,0.0,30057,0.0,0.0
2024-07-17 00:00:00+00:00,,,,0.0,28607,0.0,0.0
2024-07-18 00:00:00+00:00,,,,0.0,6058,0.0,0.0
2024-07-19 00:00:00+00:00,,,,0.0,2407,0.0,0.0
2024-07-20 00:00:00+00:00,,,,0.0,7197,0.0,0.0
2024-07-21 00:00:00+00:00,,,,0.0,10390,0.0,0.0
2024-07-22 00:00:00+00:00,,,,0.0,2034,0.0,0.0
