TIMESTAMP,MILLI29766_OPEN_PRICE_USD,MILLI29766_HIGH_PRICE_USD,MILLI29766_LOW_PRICE_USD,MILLI29766_CLOSE_PRICE_USD,MILLI29766_VOLUME_USD,MILLI29766_DIVIDENDS_USD,MILLI29766_STOCK_SPLITS_USD
2024-03-11 00:00:00+00:00,1.700000029813964e-05,2.5999999706982635e-05,1.5999999959603883e-05,2.300000051036477e-05,602573,0.0,0.0
2024-03-12 00:00:00+00:00,2.300000051036477e-05,2.300000051036477e-05,1.4999999621068127e-05,1.8999999156221747e-05,776560,0.0,0.0
2024-03-13 00:00:00+00:00,1.8999999156221747e-05,2.2000000171829015e-05,1.4000000192027073e-05,1.8000000636675395e-05,347936,0.0,0.0
2024-03-14 00:00:00+00:00,1.8000000636675395e-05,2.2000000171829015e-05,1.4999999621068127e-05,1.8000000636675395e-05,275332,0.0,0.0
2024-03-15 00:00:00+00:00,1.8000000636675395e-05,2.9999999242136255e-05,1.5999999959603883e-05,2.8000000384054147e-05,695544,0.0,0.0
2024-03-16 00:00:00+00:00,2.8000000384054147e-05,3.600000127335079e-05,1.8000000636675395e-05,2.2000000171829015e-05,880714,0.0,0.0
2024-03-17 00:00:00+00:00,2.2000000171829015e-05,2.8000000384054147e-05,1.9999999494757503e-05,2.5999999706982635e-05,565891,0.0,0.0
2024-03-18 00:00:00+00:00,2.700000004551839e-05,2.700000004551839e-05,2.2000000171829015e-05,2.2000000171829015e-05,538022,0.0,0.0
2024-03-19 00:00:00+00:00,2.300000051036477e-05,2.300000051036477e-05,1.4000000192027073e-05,1.700000029813964e-05,670641,0.0,0.0
2024-03-20 00:00:00+00:00,1.700000029813964e-05,1.9999999494757503e-05,1.4000000192027073e-05,1.8000000636675395e-05,499822,0.0,0.0
2024-03-21 00:00:00+00:00,1.8000000636675395e-05,2.300000051036477e-05,1.8000000636675395e-05,1.8999999156221747e-05,330660,0.0,0.0
2024-03-22 00:00:00+00:00,1.8999999156221747e-05,2.2000000171829015e-05,1.4000000192027073e-05,1.4999999621068127e-05,490723,0.0,0.0
2024-03-23 00:00:00+00:00,1.4999999621068127e-05,1.5999999959603883e-05,1.1000000085914508e-05,1.4000000192027073e-05,489777,0.0,0.0
2024-03-24 00:00:00+00:00,1.4000000192027073e-05,1.4000000192027073e-05,6.000000212225132e-06,7.999999979801942e-06,884838,0.0,0.0
2024-03-25 00:00:00+00:00,7.999999979801942e-06,1.1000000085914508e-05,7.000000096013537e-06,9.000000318337698e-06,437489,0.0,0.0
2024-03-26 00:00:00+00:00,9.000000318337698e-06,9.999999747378752e-06,7.000000096013537e-06,7.000000096013537e-06,251232,0.0,0.0
2024-03-27 00:00:00+00:00,7.000000096013537e-06,9.999999747378752e-06,7.000000096013537e-06,9.000000318337698e-06,289323,0.0,0.0
2024-03-28 00:00:00+00:00,9.000000318337698e-06,9.999999747378752e-06,7.000000096013537e-06,7.999999979801942e-06,163180,0.0,0.0
2024-03-29 00:00:00+00:00,7.999999979801942e-06,9.000000318337698e-06,7.999999979801942e-06,9.000000318337698e-06,168198,0.0,0.0
2024-03-30 00:00:00+00:00,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,96326,0.0,0.0
2024-03-31 00:00:00+00:00,7.999999979801942e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06,104985,0.0,0.0
2024-04-01 00:00:00+00:00,7.000000096013537e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06,255750,0.0,0.0
2024-04-02 00:00:00+00:00,7.000000096013537e-06,7.000000096013537e-06,6.000000212225132e-06,6.000000212225132e-06,147888,0.0,0.0
2024-04-03 00:00:00+00:00,6.000000212225132e-06,7.000000096013537e-06,4.999999873689376e-06,6.000000212225132e-06,284317,0.0,0.0
2024-04-04 00:00:00+00:00,6.000000212225132e-06,6.000000212225132e-06,4.999999873689376e-06,4.999999873689376e-06,180895,0.0,0.0
