TIMESTAMP,SSHIB_OPEN_PRICE_USD,SSHIB_HIGH_PRICE_USD,SSHIB_LOW_PRICE_USD,SSHIB_CLOSE_PRICE_USD,SSHIB_VOLUME_USD,SSHIB_DIVIDENDS_USD,SSHIB_STOCK_SPLITS_USD
2023-12-22 00:00:00+00:00,,,,0.0,897721,0.0,0.0
2023-12-23 00:00:00+00:00,,,,0.0,3124570,0.0,0.0
2023-12-24 00:00:00+00:00,,,,0.0,5086645,0.0,0.0
2023-12-25 00:00:00+00:00,,,,0.0,5598474,0.0,0.0
2023-12-26 00:00:00+00:00,,,,0.0,2608283,0.0,0.0
2023-12-27 00:00:00+00:00,,,,0.0,2237186,0.0,0.0
2023-12-28 00:00:00+00:00,,,,0.0,1847594,0.0,0.0
2023-12-29 00:00:00+00:00,,,,0.0,829115,0.0,0.0
2023-12-30 00:00:00+00:00,,,,0.0,788052,0.0,0.0
2023-12-31 00:00:00+00:00,,,,0.0,527813,0.0,0.0
2024-01-01 00:00:00+00:00,,,,0.0,902317,0.0,0.0
2024-01-02 00:00:00+00:00,,,,0.0,1846079,0.0,0.0
2024-01-03 00:00:00+00:00,,,,0.0,1449201,0.0,0.0
2024-01-04 00:00:00+00:00,,,,0.0,989558,0.0,0.0
2024-01-05 00:00:00+00:00,,,,0.0,751337,0.0,0.0
2024-01-06 00:00:00+00:00,,,,0.0,941674,0.0,0.0
2024-01-07 00:00:00+00:00,,,,0.0,1439773,0.0,0.0
2024-01-08 00:00:00+00:00,,,,0.0,1086863,0.0,0.0
2024-01-09 00:00:00+00:00,,,,0.0,1039853,0.0,0.0
2024-01-10 00:00:00+00:00,,,,0.0,676311,0.0,0.0
2024-01-11 00:00:00+00:00,,,,0.0,404847,0.0,0.0
2024-01-12 00:00:00+00:00,,,,0.0,516865,0.0,0.0
2024-01-13 00:00:00+00:00,,,,0.0,750904,0.0,0.0
2024-01-14 00:00:00+00:00,,,,0.0,805827,0.0,0.0
2024-01-15 00:00:00+00:00,,,,0.0,780997,0.0,0.0
2024-01-16 00:00:00+00:00,,,,0.0,855381,0.0,0.0
2024-01-17 00:00:00+00:00,,,,0.0,1525079,0.0,0.0
2024-01-18 00:00:00+00:00,,,,0.0,827340,0.0,0.0
2024-01-19 00:00:00+00:00,,,,0.0,874505,0.0,0.0
