TIMESTAMP,DELTA_OPEN_PRICE_USD,DELTA_HIGH_PRICE_USD,DELTA_LOW_PRICE_USD,DELTA_CLOSE_PRICE_USD,DELTA_VOLUME_USD,DELTA_DIVIDENDS_USD,DELTA_STOCK_SPLITS_USD
2021-03-29 00:00:00+00:00,19.349306106567383,21.940736770629883,19.20857810974121,19.21583366394043,5695597128,0.0,0.0
2021-03-30 00:00:00+00:00,19.217233657836914,19.748918533325195,19.0673828125,19.564163208007812,0,0.0,0.0
2021-03-31 00:00:00+00:00,19.55964469909668,20.720922470092773,18.81082534790039,20.445425033569336,0,0.0,0.0
2021-04-01 00:00:00+00:00,20.395566940307617,21.147750854492188,20.196313858032227,20.897245407104492,0,0.0,0.0
2021-04-02 00:00:00+00:00,21.017065048217773,22.8751220703125,20.700214385986328,22.60672378540039,0,0.0,0.0
2021-04-03 00:00:00+00:00,22.664283752441406,22.813108444213867,21.48577308654785,21.585403442382812,0,0.0,0.0
2021-04-04 00:00:00+00:00,21.511571884155273,22.31822395324707,21.271148681640625,22.14916229248047,0,0.0,0.0
2021-04-05 00:00:00+00:00,22.125856399536133,22.131032943725586,20.90566635131836,21.717802047729492,0,0.0,0.0
2021-04-06 00:00:00+00:00,21.734024047851562,22.318954467773438,21.56715965270996,22.24012565612793,0,0.0,0.0
2021-04-07 00:00:00+00:00,22.23943519592285,22.309513092041016,20.562692642211914,21.120454788208008,0,0.0,0.0
2021-04-08 00:00:00+00:00,21.048450469970703,21.271804809570312,4.209421157836914,4.424555778503418,40104,0.0,0.0
2021-04-09 00:00:00+00:00,4.423760890960693,4.484125137329102,4.301511764526367,4.335457801818848,103413,0.0,0.0
2021-04-10 00:00:00+00:00,4.336308002471924,4.5901408195495605,4.321465015411377,4.486017227172852,26673,0.0,0.0
2021-04-11 00:00:00+00:00,4.48673677444458,4.537890911102295,4.121781826019287,4.138779163360596,382425,0.0,0.0
2021-04-12 00:00:00+00:00,4.138026237487793,4.239450931549072,4.059867858886719,4.059867858886719,108734,0.0,0.0
2021-04-13 00:00:00+00:00,4.061039924621582,4.303819179534912,4.0398712158203125,4.261408805847168,124339,0.0,0.0
2021-04-14 00:00:00+00:00,4.273890018463135,4.611946105957031,4.2547430992126465,4.589413166046143,17601,0.0,0.0
2021-04-15 00:00:00+00:00,4.589944839477539,4.74208402633667,4.536725997924805,4.712032794952393,58810,0.0,0.0
2021-04-16 00:00:00+00:00,4.708357810974121,4.746313095092773,4.261148929595947,4.319366931915283,243425,0.0,0.0
2021-04-17 00:00:00+00:00,4.32125186920166,4.537014961242676,4.100070953369141,4.18765115737915,24994,0.0,0.0
2021-04-18 00:00:00+00:00,4.183876037597656,4.215778827667236,3.4999990463256836,3.8242990970611572,143825,0.0,0.0
2021-04-19 00:00:00+00:00,3.8212130069732666,3.895029067993164,3.5858209133148193,3.6710870265960693,53539,0.0,0.0
2021-04-20 00:00:00+00:00,3.6869421005249023,3.9263410568237305,3.405797004699707,3.8366849422454834,75931,0.0,0.0
2021-04-21 00:00:00+00:00,3.847693920135498,4.073616981506348,3.7031240463256836,3.9143130779266357,16445,0.0,0.0
2021-04-22 00:00:00+00:00,3.9194209575653076,4.333989143371582,3.84356689453125,3.961848020553589,40751,0.0,0.0
2021-04-23 00:00:00+00:00,3.9616808891296387,3.991533041000366,3.495181083679199,3.847939968109131,36469,0.0,0.0
2021-04-24 00:00:00+00:00,3.8494839668273926,3.8541200160980225,3.5466339588165283,3.596466064453125,33818,0.0,0.0
2021-04-25 00:00:00+00:00,3.5968759059906006,3.8067429065704346,3.5295279026031494,3.714798927307129,25763,0.0,0.0
2021-04-26 00:00:00+00:00,3.7149899005889893,4.075934886932373,3.714432954788208,4.061683177947998,18777,0.0,0.0
2021-04-27 00:00:00+00:00,4.064349174499512,4.327004909515381,4.008914947509766,4.278138160705566,54741,0.0,0.0
2021-04-28 00:00:00+00:00,4.278135776519775,4.488868236541748,4.155671119689941,4.453265190124512,20526,0.0,0.0
2021-04-29 00:00:00+00:00,4.453362941741943,4.541982173919678,4.335661888122559,4.458127021789551,22891,0.0,0.0
2021-04-30 00:00:00+00:00,4.455634117126465,4.459036827087402,4.317214012145996,4.360751152038574,165176,0.0,0.0
2021-05-01 00:00:00+00:00,4.36008882522583,4.510980129241943,4.186266899108887,4.320263862609863,340499,0.0,0.0
2021-05-02 00:00:00+00:00,4.321313858032227,5.006073951721191,3.8654680252075195,4.177611827850342,66240,0.0,0.0
2021-05-03 00:00:00+00:00,4.262744903564453,4.957499980926514,4.167473793029785,4.927297115325928,59136,0.0,0.0
2021-05-04 00:00:00+00:00,4.927151203155518,5.032255172729492,4.6023478507995605,4.62605094909668,29794,0.0,0.0
2021-05-05 00:00:00+00:00,4.625654220581055,5.015979766845703,4.612255096435547,5.006731986999512,42632,0.0,0.0
2021-05-06 00:00:00+00:00,5.006918907165527,5.100367069244385,4.820702075958252,4.972366809844971,26797,0.0,0.0
2021-05-07 00:00:00+00:00,4.967907905578613,5.089609146118164,4.7997050285339355,4.930914878845215,22473,0.0,0.0
2021-05-08 00:00:00+00:00,4.9325761795043945,5.700455188751221,4.621106147766113,5.606540203094482,29413,0.0,0.0
2021-05-09 00:00:00+00:00,5.615208148956299,6.1330108642578125,5.2309160232543945,5.442999839782715,19579,0.0,0.0
2021-05-10 00:00:00+00:00,5.453012943267822,6.216434001922607,5.142467021942139,5.429880142211914,236623,0.0,0.0
2021-05-11 00:00:00+00:00,5.444538116455078,5.710437774658203,5.096395015716553,5.637615203857422,13989,0.0,0.0
