TIMESTAMP,LOAFCAT_OPEN_PRICE_USD,LOAFCAT_HIGH_PRICE_USD,LOAFCAT_LOW_PRICE_USD,LOAFCAT_CLOSE_PRICE_USD,LOAFCAT_VOLUME_USD,LOAFCAT_DIVIDENDS_USD,LOAFCAT_STOCK_SPLITS_USD
2024-08-02 00:00:00+00:00,4.8999998398358e-05,5.0999999075429514e-05,2.499999936844688e-05,2.499999936844688e-05,665801,0.0,0.0
2024-08-03 00:00:00+00:00,2.499999936844688e-05,4.199999966658652e-05,2.2000000171829015e-05,3.7000001611886546e-05,1471878,0.0,0.0
2024-08-04 00:00:00+00:00,3.7000001611886546e-05,4.199999966658652e-05,2.5999999706982635e-05,2.700000004551839e-05,940845,0.0,0.0
2024-08-05 00:00:00+00:00,2.8000000384054147e-05,2.9000000722589903e-05,1.4999999621068127e-05,2.099999983329326e-05,351259,0.0,0.0
2024-08-06 00:00:00+00:00,2.099999983329326e-05,2.499999936844688e-05,7.999999979801942e-06,9.000000318337698e-06,352347,0.0,0.0
2024-08-07 00:00:00+00:00,9.999999747378752e-06,1.8000000636675395e-05,7.999999979801942e-06,1.4000000192027073e-05,153804,0.0,0.0
2024-08-08 00:00:00+00:00,1.4000000192027073e-05,1.5999999959603883e-05,1.2999999853491317e-05,1.4999999621068127e-05,101021,0.0,0.0
2024-08-09 00:00:00+00:00,1.4999999621068127e-05,1.4999999621068127e-05,1.2000000424450263e-05,1.2999999853491317e-05,37438,0.0,0.0
2024-08-10 00:00:00+00:00,1.2999999853491317e-05,1.700000029813964e-05,1.2000000424450263e-05,1.700000029813964e-05,47475,0.0,0.0
2024-08-11 00:00:00+00:00,1.700000029813964e-05,2.4000000848900527e-05,1.700000029813964e-05,1.700000029813964e-05,99642,0.0,0.0
2024-08-12 00:00:00+00:00,1.700000029813964e-05,1.8000000636675395e-05,1.5999999959603883e-05,1.8000000636675395e-05,13172,0.0,0.0
2024-08-13 00:00:00+00:00,1.8000000636675395e-05,2.8000000384054147e-05,1.700000029813964e-05,1.8000000636675395e-05,102979,0.0,0.0
2024-08-14 00:00:00+00:00,1.8000000636675395e-05,2.300000051036477e-05,1.5999999959603883e-05,1.8999999156221747e-05,93933,0.0,0.0
2024-08-15 00:00:00+00:00,1.8999999156221747e-05,1.9999999494757503e-05,1.4000000192027073e-05,1.5999999959603883e-05,28796,0.0,0.0
2024-08-16 00:00:00+00:00,1.5999999959603883e-05,1.5999999959603883e-05,1.2999999853491317e-05,1.4000000192027073e-05,25111,0.0,0.0
2024-08-17 00:00:00+00:00,1.4000000192027073e-05,1.4999999621068127e-05,1.2000000424450263e-05,1.2000000424450263e-05,39435,0.0,0.0
2024-08-18 00:00:00+00:00,1.2000000424450263e-05,1.2999999853491317e-05,9.999999747378752e-06,1.2000000424450263e-05,29305,0.0,0.0
2024-08-19 00:00:00+00:00,1.2000000424450263e-05,1.2999999853491317e-05,9.999999747378752e-06,1.2000000424450263e-05,19184,0.0,0.0
2024-08-20 00:00:00+00:00,1.2000000424450263e-05,1.2999999853491317e-05,9.999999747378752e-06,1.1000000085914508e-05,24968,0.0,0.0
2024-08-21 00:00:00+00:00,1.1000000085914508e-05,1.1000000085914508e-05,9.999999747378752e-06,9.999999747378752e-06,13162,0.0,0.0
2024-08-22 00:00:00+00:00,9.999999747378752e-06,1.2000000424450263e-05,9.999999747378752e-06,1.1000000085914508e-05,12817,0.0,0.0
