TIMESTAMP,ELON30979_OPEN_PRICE_USD,ELON30979_HIGH_PRICE_USD,ELON30979_LOW_PRICE_USD,ELON30979_CLOSE_PRICE_USD,ELON30979_VOLUME_USD,ELON30979_DIVIDENDS_USD,ELON30979_STOCK_SPLITS_USD
2024-04-29 00:00:00+00:00,7.000000096013537e-06,1.4000000192027073e-05,6.000000212225132e-06,9.999999747378752e-06,3607727,0.0,0.0
2024-04-30 00:00:00+00:00,9.999999747378752e-06,3.7999998312443495e-05,7.999999979801942e-06,3.400000059627928e-05,12721555,0.0,0.0
2024-05-01 00:00:00+00:00,3.400000059627928e-05,3.7000001611886546e-05,2.4000000848900527e-05,2.8000000384054147e-05,6187206,0.0,0.0
2024-05-02 00:00:00+00:00,2.700000004551839e-05,2.9999999242136255e-05,1.5999999959603883e-05,1.8000000636675395e-05,5825721,0.0,0.0
2024-05-03 00:00:00+00:00,1.9999999494757503e-05,2.2000000171829015e-05,1.700000029813964e-05,1.8000000636675395e-05,2354032,0.0,0.0
2024-05-04 00:00:00+00:00,1.8000000636675395e-05,1.8000000636675395e-05,1.2999999853491317e-05,1.700000029813964e-05,2751220,0.0,0.0
2024-05-05 00:00:00+00:00,1.700000029813964e-05,2.4000000848900527e-05,1.4000000192027073e-05,1.9999999494757503e-05,2169623,0.0,0.0
2024-05-06 00:00:00+00:00,1.8999999156221747e-05,2.9000000722589903e-05,1.700000029813964e-05,2.2000000171829015e-05,3037423,0.0,0.0
2024-05-07 00:00:00+00:00,2.2000000171829015e-05,2.2000000171829015e-05,1.8000000636675395e-05,2.099999983329326e-05,2517942,0.0,0.0
2024-05-08 00:00:00+00:00,1.700000029813964e-05,1.8000000636675395e-05,1.4999999621068127e-05,1.700000029813964e-05,2018156,0.0,0.0
2024-05-09 00:00:00+00:00,1.700000029813964e-05,2.300000051036477e-05,1.5999999959603883e-05,1.9999999494757503e-05,1751729,0.0,0.0
2024-05-10 00:00:00+00:00,1.9999999494757503e-05,1.9999999494757503e-05,1.4999999621068127e-05,1.5999999959603883e-05,1753535,0.0,0.0
2024-05-11 00:00:00+00:00,1.5999999959603883e-05,1.5999999959603883e-05,9.999999747378752e-06,1.2000000424450263e-05,2055176,0.0,0.0
2024-05-12 00:00:00+00:00,1.2000000424450263e-05,1.2999999853491317e-05,9.000000318337698e-06,9.000000318337698e-06,2351191,0.0,0.0
2024-05-13 00:00:00+00:00,9.999999747378752e-06,1.2999999853491317e-05,9.000000318337698e-06,9.999999747378752e-06,2408199,0.0,0.0
2024-05-14 00:00:00+00:00,9.999999747378752e-06,1.8999999156221747e-05,9.999999747378752e-06,1.5999999959603883e-05,2417020,0.0,0.0
2024-05-15 00:00:00+00:00,1.5999999959603883e-05,1.5999999959603883e-05,1.2000000424450263e-05,1.4000000192027073e-05,2041836,0.0,0.0
2024-05-16 00:00:00+00:00,1.4000000192027073e-05,1.4000000192027073e-05,1.2000000424450263e-05,1.2000000424450263e-05,1289558,0.0,0.0
2024-05-17 00:00:00+00:00,1.2000000424450263e-05,1.4000000192027073e-05,9.000000318337698e-06,9.999999747378752e-06,1507102,0.0,0.0
2024-05-18 00:00:00+00:00,1.1000000085914508e-05,1.1000000085914508e-05,9.000000318337698e-06,1.1000000085914508e-05,1544552,0.0,0.0
2024-05-19 00:00:00+00:00,1.1000000085914508e-05,1.1000000085914508e-05,9.000000318337698e-06,9.999999747378752e-06,1362601,0.0,0.0
2024-05-20 00:00:00+00:00,9.999999747378752e-06,1.2999999853491317e-05,9.000000318337698e-06,1.2000000424450263e-05,1523917,0.0,0.0
2024-05-21 00:00:00+00:00,1.2000000424450263e-05,1.2999999853491317e-05,9.999999747378752e-06,1.1000000085914508e-05,1211037,0.0,0.0
2024-05-22 00:00:00+00:00,1.1000000085914508e-05,1.2000000424450263e-05,7.999999979801942e-06,9.000000318337698e-06,1734306,0.0,0.0
2024-05-23 00:00:00+00:00,9.000000318337698e-06,9.000000318337698e-06,7.000000096013537e-06,7.000000096013537e-06,1342465,0.0,0.0
2024-05-24 00:00:00+00:00,7.000000096013537e-06,7.999999979801942e-06,7.000000096013537e-06,7.000000096013537e-06,1213781,0.0,0.0
2024-05-25 00:00:00+00:00,7.000000096013537e-06,9.000000318337698e-06,6.000000212225132e-06,7.999999979801942e-06,1382719,0.0,0.0
2024-05-26 00:00:00+00:00,7.999999979801942e-06,1.2000000424450263e-05,7.999999979801942e-06,1.1000000085914508e-05,1679210,0.0,0.0
2024-05-27 00:00:00+00:00,1.1000000085914508e-05,1.1000000085914508e-05,9.000000318337698e-06,9.999999747378752e-06,1384318,0.0,0.0
2024-05-28 00:00:00+00:00,9.000000318337698e-06,9.000000318337698e-06,7.999999979801942e-06,7.999999979801942e-06,1070134,0.0,0.0
2024-05-29 00:00:00+00:00,7.999999979801942e-06,2.4000000848900527e-05,7.999999979801942e-06,1.8999999156221747e-05,3680462,0.0,0.0
2024-05-30 00:00:00+00:00,1.8999999156221747e-05,4.600000102072954e-05,1.4999999621068127e-05,3.600000127335079e-05,8734435,0.0,0.0
