TIMESTAMP,FRTC_OPEN_PRICE_USD,FRTC_HIGH_PRICE_USD,FRTC_LOW_PRICE_USD,FRTC_CLOSE_PRICE_USD,FRTC_VOLUME_USD,FRTC_DIVIDENDS_USD,FRTC_STOCK_SPLITS_USD
2023-05-07 00:00:00+00:00,,,,0.0,46865,0.0,0.0
2023-05-08 00:00:00+00:00,,,,0.0,3741,0.0,0.0
2023-05-09 00:00:00+00:00,,,,0.0,1000,0.0,0.0
2023-05-10 00:00:00+00:00,,,,0.0,1272,0.0,0.0
2023-05-11 00:00:00+00:00,,,,0.0,698,0.0,0.0
2023-05-12 00:00:00+00:00,,,,0.0,442,0.0,0.0
2023-05-13 00:00:00+00:00,,,,0.0,387,0.0,0.0
2023-05-14 00:00:00+00:00,,,,0.0,2025,0.0,0.0
2023-05-15 00:00:00+00:00,,,,0.0,572,0.0,0.0
2023-05-16 00:00:00+00:00,,,,0.0,788,0.0,0.0
2023-05-17 00:00:00+00:00,,,,0.0,310,0.0,0.0
2023-05-18 00:00:00+00:00,,,,0.0,472,0.0,0.0
2023-05-19 00:00:00+00:00,,,,0.0,214,0.0,0.0
2023-05-20 00:00:00+00:00,,,,0.0,201,0.0,0.0
2023-05-21 00:00:00+00:00,,,,0.0,584,0.0,0.0
2023-05-22 00:00:00+00:00,,,,0.0,413,0.0,0.0
2023-05-23 00:00:00+00:00,,,,0.0,31768,0.0,0.0
2023-05-24 00:00:00+00:00,,,,0.0,55533,0.0,0.0
2023-05-25 00:00:00+00:00,,,,0.0,55062,0.0,0.0
2023-05-26 00:00:00+00:00,,,,0.0,84328,0.0,0.0
2023-05-27 00:00:00+00:00,,,,0.0,90820,0.0,0.0
2023-05-28 00:00:00+00:00,,,,0.0,40952,0.0,0.0
2023-05-29 00:00:00+00:00,,,,0.0,79272,0.0,0.0
2023-05-30 00:00:00+00:00,,,,0.0,71334,0.0,0.0
2023-05-31 00:00:00+00:00,,,,0.0,60140,0.0,0.0
2023-06-01 00:00:00+00:00,,,,0.0,37087,0.0,0.0
2023-06-02 00:00:00+00:00,,,,0.0,56033,0.0,0.0
2023-06-03 00:00:00+00:00,,,,0.0,75218,0.0,0.0
2023-06-04 00:00:00+00:00,,,,0.0,51583,0.0,0.0
2023-06-05 00:00:00+00:00,,,,0.0,60000,0.0,0.0
2023-06-06 00:00:00+00:00,,,,0.0,48025,0.0,0.0
2023-06-07 00:00:00+00:00,,,,0.0,62750,0.0,0.0
2023-06-08 00:00:00+00:00,,,,0.0,58972,0.0,0.0
2023-06-09 00:00:00+00:00,,,,0.0,61741,0.0,0.0
2023-06-10 00:00:00+00:00,,,,0.0,64913,0.0,0.0
2023-06-11 00:00:00+00:00,,,,0.0,58480,0.0,0.0
2023-06-12 00:00:00+00:00,,,,0.0,42912,0.0,0.0
2023-06-13 00:00:00+00:00,,,,0.0,39680,0.0,0.0
2023-06-14 00:00:00+00:00,,,,0.0,34783,0.0,0.0
2023-06-15 00:00:00+00:00,,,,0.0,33496,0.0,0.0
2023-06-16 00:00:00+00:00,,,,0.0,33808,0.0,0.0
2023-06-17 00:00:00+00:00,,,,0.0,35865,0.0,0.0
2023-06-18 00:00:00+00:00,,,,0.0,38593,0.0,0.0
2023-06-19 00:00:00+00:00,,,,0.0,44924,0.0,0.0
2023-06-20 00:00:00+00:00,,,,0.0,50221,0.0,0.0
2023-06-21 00:00:00+00:00,,,,0.0,44054,0.0,0.0
2023-06-22 00:00:00+00:00,,,,0.0,30465,0.0,0.0
2023-06-23 00:00:00+00:00,,,,0.0,63608,0.0,0.0
2023-06-24 00:00:00+00:00,,,,0.0,38791,0.0,0.0
2023-06-25 00:00:00+00:00,,,,0.0,42030,0.0,0.0
2023-06-26 00:00:00+00:00,,,,0.0,38008,0.0,0.0
