,XRP
XEM,4.863156970156071e-11
DOGE,9.526092644225171e-07
SC,3.427960868176897e-05
QTUM,0.00029460555012689996
ETH,0.0008246851572821
BTS,0.0009663178057651
USDT,0.0024865966825693498
BTC,0.016522554364729
LSK,0.01864114976896335
GNO,0.0222882166170423
DGB,0.036160642139562646
KMD,0.0613427992745756
ETC,0.0634406130991059
ARK,0.06972174034553749
MONA,0.07873564933730526
RLC,0.09812404511119804
SYS,0.10546977893328036
ZEN,0.10577599432842716
DCR,0.112728473198878
MAID,0.1262236220015689
ANT,0.13601185396184906
STEEM,0.2727331401969494
VERI,0.4339118084861052
FIRO,0.44345869153584605
XWC,0.7059191384918035
CON,0.8151027254483105
