,XRP,Lag
XEM,4.201218769140645e-15,27
DOGE,6.369556359322124e-09,29
SC,5.513753524502816e-06,12
MONA,1.1125444432335812e-05,30
ETH,4.5897729476081406e-05,10
QTUM,4.917318127966886e-05,15
BTC,0.000110167122053,28
BTS,0.0002530309789832,16
USDT,0.0007701866812949,16
GNO,0.0028679377501849,20
DGB,0.0030062158181458,12
LSK,0.0037898113473993,10
ETC,0.0187753178963591,8
KMD,0.019569372400244,18
ARK,0.0221503888757598,11
DCR,0.0266331266402323,8
STEEM,0.0354508034527782,29
SYS,0.0386444146358348,19
RLC,0.0401651072879551,17
ZEN,0.0488008424497607,20
ANT,0.0636546095119571,11
MAID,0.0994274485083972,21
VERI,0.2604334321509506,3
CON,0.3259223571221148,1
FIRO,0.3494131204459761,13
XWC,0.4312047121503315,1
