TIMESTAMP,BABYCAT30423_OPEN_PRICE_USD,BABYCAT30423_HIGH_PRICE_USD,BABYCAT30423_LOW_PRICE_USD,BABYCAT30423_CLOSE_PRICE_USD,BABYCAT30423_VOLUME_USD,BABYCAT30423_DIVIDENDS_USD,BABYCAT30423_STOCK_SPLITS_USD
2024-04-05 00:00:00+00:00,,,,0.0,561251,0.0,0.0
2024-04-06 00:00:00+00:00,,,,0.0,200346,0.0,0.0
2024-04-07 00:00:00+00:00,,,,0.0,260533,0.0,0.0
2024-04-08 00:00:00+00:00,,,,0.0,142797,0.0,0.0
2024-04-09 00:00:00+00:00,,,,0.0,95261,0.0,0.0
2024-04-10 00:00:00+00:00,,,,0.0,22958,0.0,0.0
2024-04-11 00:00:00+00:00,,,,0.0,10384,0.0,0.0
2024-04-12 00:00:00+00:00,,,,0.0,8573,0.0,0.0
2024-04-13 00:00:00+00:00,,,,0.0,6831,0.0,0.0
2024-04-14 00:00:00+00:00,,,,0.0,4475,0.0,0.0
2024-04-15 00:00:00+00:00,,,,0.0,3156,0.0,0.0
2024-04-16 00:00:00+00:00,,,,0.0,1629,0.0,0.0
2024-04-17 00:00:00+00:00,,,,0.0,1517,0.0,0.0
2024-04-18 00:00:00+00:00,,,,0.0,1236,0.0,0.0
2024-04-19 00:00:00+00:00,,,,0.0,1091,0.0,0.0
2024-04-20 00:00:00+00:00,,,,0.0,916,0.0,0.0
2024-04-21 00:00:00+00:00,,,,0.0,624,0.0,0.0
2024-04-22 00:00:00+00:00,,,,0.0,501,0.0,0.0
2024-04-23 00:00:00+00:00,,,,0.0,637,0.0,0.0
2024-04-24 00:00:00+00:00,,,,0.0,1437,0.0,0.0
2024-04-25 00:00:00+00:00,,,,0.0,1373,0.0,0.0
2024-04-26 00:00:00+00:00,,,,0.0,1498,0.0,0.0
2024-04-27 00:00:00+00:00,,,,0.0,537,0.0,0.0
2024-04-28 00:00:00+00:00,,,,0.0,1683,0.0,0.0
2024-04-29 00:00:00+00:00,,,,0.0,376,0.0,0.0
2024-04-30 00:00:00+00:00,,,,0.0,2400,0.0,0.0
2024-05-01 00:00:00+00:00,,,,0.0,893,0.0,0.0
2024-05-02 00:00:00+00:00,,,,0.0,201,0.0,0.0
2024-05-03 00:00:00+00:00,,,,0.0,459,0.0,0.0
2024-05-04 00:00:00+00:00,,,,0.0,534,0.0,0.0
2024-05-05 00:00:00+00:00,,,,0.0,963,0.0,0.0
2024-05-06 00:00:00+00:00,,,,0.0,154,0.0,0.0
2024-05-07 00:00:00+00:00,,,,0.0,215,0.0,0.0
2024-05-08 00:00:00+00:00,,,,0.0,532,0.0,0.0
2024-05-09 00:00:00+00:00,,,,0.0,1368,0.0,0.0
2024-05-10 00:00:00+00:00,,,,0.0,95,0.0,0.0
2024-05-11 00:00:00+00:00,,,,0.0,568,0.0,0.0
2024-05-12 00:00:00+00:00,,,,0.0,158,0.0,0.0
2024-05-13 00:00:00+00:00,,,,0.0,26,0.0,0.0
2024-05-14 00:00:00+00:00,,,,0.0,634,0.0,0.0
2024-05-15 00:00:00+00:00,,,,0.0,2209,0.0,0.0
2024-05-16 00:00:00+00:00,,,,0.0,917,0.0,0.0
2024-05-17 00:00:00+00:00,,,,0.0,760,0.0,0.0
2024-05-18 00:00:00+00:00,,,,0.0,129,0.0,0.0
2024-05-19 00:00:00+00:00,,,,0.0,81,0.0,0.0
2024-05-20 00:00:00+00:00,,,,0.0,77,0.0,0.0
2024-05-21 00:00:00+00:00,,,,0.0,236,0.0,0.0
2024-05-22 00:00:00+00:00,,,,0.0,690,0.0,0.0
2024-05-23 00:00:00+00:00,,,,0.0,52,0.0,0.0
2024-05-24 00:00:00+00:00,,,,0.0,113,0.0,0.0
2024-05-25 00:00:00+00:00,,,,0.0,2,0.0,0.0
2024-05-26 00:00:00+00:00,,,,0.0,193,0.0,0.0
