TIMESTAMP,NEM_CLOSE_PRICE_USD,NEM_OPEN_PRICE_USD,NEM_HIGH_PRICE_USD,NEM_LOW_PRICE_USD
2017-06-03,0.2108,0.2158,0.248,0.2008
2017-06-04,0.2139,0.2108,0.232,0.2
2017-06-05,0.2308,0.2139,0.2787,0.2097
2017-06-06,0.2279,0.2308,0.2419,0.1988
2017-06-07,0.216,0.2279,0.2396,0.2
2017-06-08,0.2188,0.216,0.2234,0.187
2017-06-09,0.2164,0.2188,0.2278,0.2115
2017-06-10,0.1918,0.2164,0.225,0.1862
2017-06-11,0.2165,0.1918,0.2244,0.189
2017-06-12,0.1913,0.2165,0.25,0.1556
2017-06-13,0.203,0.1913,0.2099,0.1794
2017-06-14,0.1944,0.203,0.225,0.1783
2017-06-15,0.1868,0.1944,0.2031,0.1548
2017-06-16,0.1858,0.1868,0.204,0.174
2017-06-17,0.2007,0.1858,0.2033,0.1761
2017-06-18,0.1915,0.2007,0.2023,0.1795
2017-06-19,0.1982,0.1915,0.2008,0.189
2017-06-20,0.206,0.1982,0.2224,0.1934
2017-06-21,0.1902,0.206,0.2135,0.185
2017-06-22,0.1903,0.1902,0.1981,0.1862
2017-06-23,0.1926,0.1903,0.1953,0.1872
2017-06-24,0.1773,0.1926,0.2005,0.168
2017-06-25,0.1684,0.1773,0.184,0.158
2017-06-26,0.158,0.1684,0.1725,0.1335
2017-06-27,0.1614,0.158,0.1659,0.1331
2017-06-28,0.1692,0.1614,0.1762,0.1521
2017-06-29,0.1587,0.1692,0.1754,0.1554
2017-06-30,0.1559,0.1587,0.1665,0.155
2017-07-01,0.1415,0.1559,0.1583,0.138
2017-07-02,0.1561,0.1415,0.1568,0.1394
2017-07-03,0.1735,0.1561,0.1781,0.1516
2017-07-04,0.187,0.1735,0.195,0.1629
2017-07-05,0.1736,0.187,0.1871,0.17
2017-07-06,0.1704,0.1736,0.1781,0.1628
2017-07-07,0.1561,0.1704,0.1722,0.1506
2017-07-08,0.1578,0.1561,0.1648,0.146
2017-07-09,0.1521,0.1578,0.1611,0.1506
2017-07-10,0.1454,0.1521,0.158,0.144
2017-07-11,0.1454,0.1454,0.1454,0.1454
2017-07-12,0.1337,0.1445,0.1445,0.1245
2017-07-13,0.1208,0.1337,0.1406,0.1126
2017-07-14,0.1177,0.1208,0.1244,0.1093
2017-07-15,0.1098,0.1177,0.118,0.1045
2017-07-16,0.09683,0.1098,0.1128,0.08767
2017-07-17,0.1349,0.09683,0.1349,0.09681
2017-07-18,0.1324,0.1349,0.145,0.1153
2017-07-19,0.126,0.1324,0.16,0.1228
2017-07-20,0.1534,0.126,0.1612,0.125
2017-07-21,0.145,0.1534,0.1534,0.1415
2017-07-22,0.177,0.145,0.179,0.145
2017-07-23,0.1674,0.177,0.1883,0.1555
2017-07-24,0.1696,0.1674,0.1737,0.1589
2017-07-25,0.1579,0.1696,0.1784,0.1422
2017-07-26,0.1565,0.1579,0.1665,0.1444
2017-07-27,0.1716,0.1565,0.1772,0.1534
2017-07-28,0.1655,0.1716,0.176,0.1554
2017-07-29,0.1693,0.1655,0.171,0.1562
2017-07-30,0.159,0.1693,0.1767,0.1582
2017-07-31,0.1612,0.159,0.1701,0.1574
2017-08-01,0.1791,0.1612,0.1857,0.1611
2017-08-02,0.2149,0.1791,0.2404,0.1785
2017-08-03,0.22,0.2149,0.2458,0.2109
2017-08-04,0.2236,0.22,0.231,0.2112
2017-08-05,0.2296,0.2236,0.26,0.215
2017-08-06,0.2442,0.2296,0.255,0.2103
2017-08-07,0.2802,0.2442,0.2913,0.236
2017-08-08,0.2731,0.2802,0.31,0.2548
2017-08-09,0.2786,0.2731,0.3014,0.2536
2017-08-10,0.2931,0.2786,0.3046,0.2754
2017-08-11,0.293,0.2931,0.3,0.274
2017-08-12,0.2741,0.293,0.3027,0.2683
2017-08-13,0.2595,0.2741,0.2796,0.2234
2017-08-14,0.2526,0.2595,0.2672,0.2332
