TIMESTAMP,ALPHADOGE_OPEN_PRICE_USD,ALPHADOGE_HIGH_PRICE_USD,ALPHADOGE_LOW_PRICE_USD,ALPHADOGE_CLOSE_PRICE_USD,ALPHADOGE_VOLUME_USD,ALPHADOGE_DIVIDENDS_USD,ALPHADOGE_STOCK_SPLITS_USD
2024-12-25 00:00:00+00:00,6.800000119255856e-05,8.299999899463728e-05,6.70000008540228e-05,8.199999865610152e-05,2454,0.0,0.0
2024-12-26 00:00:00+00:00,8.199999865610152e-05,8.399999933317304e-05,7.79999973019585e-05,7.999999797903001e-05,1661,0.0,0.0
2024-12-27 00:00:00+00:00,7.999999797903001e-05,8.099999831756577e-05,7.500000356230885e-05,7.500000356230885e-05,263,0.0,0.0
2024-12-28 00:00:00+00:00,7.500000356230885e-05,7.599999662488699e-05,6.500000017695129e-05,6.900000153109431e-05,2260,0.0,0.0
2024-12-29 00:00:00+00:00,6.900000153109431e-05,6.900000153109431e-05,5.999999848427251e-05,5.999999848427251e-05,924,0.0,0.0
2024-12-30 00:00:00+00:00,5.999999848427251e-05,6.199999916134402e-05,5.900000178371556e-05,5.999999848427251e-05,13,0.0,0.0
2024-12-31 00:00:00+00:00,5.999999848427251e-05,6.299999949987978e-05,5.999999848427251e-05,6.0999998822808266e-05,393,0.0,0.0
2025-01-01 00:00:00+00:00,6.0999998822808266e-05,6.199999916134402e-05,5.999999848427251e-05,6.0999998822808266e-05,393,0.0,0.0
2025-01-02 00:00:00+00:00,6.0999998822808266e-05,7.100000220816582e-05,6.0999998822808266e-05,7.000000186963007e-05,1353,0.0,0.0
2025-01-03 00:00:00+00:00,7.000000186963007e-05,7.000000186963007e-05,6.500000017695129e-05,6.70000008540228e-05,2125,0.0,0.0
2025-01-04 00:00:00+00:00,6.70000008540228e-05,6.800000119255856e-05,6.600000051548705e-05,6.600000051548705e-05,169,0.0,0.0
2025-01-05 00:00:00+00:00,6.600000051548705e-05,6.600000051548705e-05,6.500000017695129e-05,6.500000017695129e-05,159,0.0,0.0
2025-01-06 00:00:00+00:00,6.500000017695129e-05,6.600000051548705e-05,6.399999983841553e-05,6.399999983841553e-05,206,0.0,0.0
2025-01-07 00:00:00+00:00,6.399999983841553e-05,6.399999983841553e-05,5.6000000768108293e-05,5.6000000768108293e-05,746,0.0,0.0
2025-01-08 00:00:00+00:00,5.6000000768108293e-05,5.6000000768108293e-05,5.0999999075429514e-05,5.0999999075429514e-05,434,0.0,0.0
2025-01-09 00:00:00+00:00,5.0999999075429514e-05,5.199999941396527e-05,4.999999873689376e-05,5.0999999075429514e-05,190,0.0,0.0
2025-01-10 00:00:00+00:00,5.0999999075429514e-05,5.199999941396527e-05,4.999999873689376e-05,5.0999999075429514e-05,409,0.0,0.0
2025-01-11 00:00:00+00:00,5.0999999075429514e-05,5.0999999075429514e-05,4.8999998398358e-05,4.8999998398358e-05,97,0.0,0.0
2025-01-12 00:00:00+00:00,4.8999998398358e-05,5.0999999075429514e-05,4.8999998398358e-05,4.999999873689376e-05,21,0.0,0.0
2025-01-13 00:00:00+00:00,4.999999873689376e-05,5.0999999075429514e-05,4.70000013592653e-05,4.70000013592653e-05,16,0.0,0.0
2025-01-14 00:00:00+00:00,4.70000013592653e-05,4.8999998398358e-05,4.70000013592653e-05,4.8000001697801054e-05,191,0.0,0.0
2025-01-15 00:00:00+00:00,4.8000001697801054e-05,5.0999999075429514e-05,4.8000001697801054e-05,5.0999999075429514e-05,21,0.0,0.0
2025-01-16 00:00:00+00:00,5.0999999075429514e-05,5.400000009103678e-05,5.0999999075429514e-05,5.199999941396527e-05,239,0.0,0.0
2025-01-17 00:00:00+00:00,5.199999941396527e-05,5.400000009103678e-05,5.0999999075429514e-05,5.0999999075429514e-05,518,0.0,0.0
2025-01-18 00:00:00+00:00,5.0999999075429514e-05,5.500000042957254e-05,4.999999873689376e-05,5.2999999752501026e-05,663,0.0,0.0
2025-01-19 00:00:00+00:00,5.2999999752501026e-05,5.999999848427251e-05,4.600000102072954e-05,4.8999998398358e-05,110,0.0,0.0
2025-01-20 00:00:00+00:00,4.8999998398358e-05,5.400000009103678e-05,4.8999998398358e-05,4.999999873689376e-05,111,0.0,0.0
2025-01-21 00:00:00+00:00,4.999999873689376e-05,4.999999873689376e-05,4.70000013592653e-05,4.8999998398358e-05,299,0.0,0.0
2025-01-22 00:00:00+00:00,4.8999998398358e-05,5.0999999075429514e-05,4.8000001697801054e-05,4.8000001697801054e-05,299,0.0,0.0
2025-01-23 00:00:00+00:00,4.8000001697801054e-05,4.8000001697801054e-05,4.600000102072954e-05,4.600000102072954e-05,77,0.0,0.0
2025-01-24 00:00:00+00:00,4.600000102072954e-05,4.8999998398358e-05,4.600000102072954e-05,4.70000013592653e-05,45,0.0,0.0
