TIMESTAMP,FNF_OPEN_PRICE_USD,FNF_HIGH_PRICE_USD,FNF_LOW_PRICE_USD,FNF_CLOSE_PRICE_USD,FNF_VOLUME_USD,FNF_DIVIDENDS_USD,FNF_STOCK_SPLITS_USD
2022-06-03 00:00:00+00:00,1.1000000085914508e-05,2.099999983329326e-05,1.1000000085914508e-05,1.4000000192027073e-05,1328800,0.0,0.0
2022-06-04 00:00:00+00:00,1.4000000192027073e-05,1.4000000192027073e-05,9.000000318337698e-06,9.999999747378752e-06,1308704,0.0,0.0
2022-06-05 00:00:00+00:00,9.999999747378752e-06,1.1000000085914508e-05,7.000000096013537e-06,7.000000096013537e-06,708322,0.0,0.0
2022-06-06 00:00:00+00:00,7.000000096013537e-06,7.000000096013537e-06,4.999999873689376e-06,4.999999873689376e-06,1075532,0.0,0.0
2022-06-07 00:00:00+00:00,4.999999873689376e-06,6.000000212225132e-06,3.000000106112566e-06,3.999999989900971e-06,1142287,0.0,0.0
2022-06-08 00:00:00+00:00,3.999999989900971e-06,6.000000212225132e-06,3.999999989900971e-06,3.999999989900971e-06,940632,0.0,0.0
2022-06-09 00:00:00+00:00,3.999999989900971e-06,4.999999873689376e-06,3.999999989900971e-06,3.999999989900971e-06,1064303,0.0,0.0
2022-06-10 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,1034266,0.0,0.0
2022-06-11 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,1.9999999949504854e-06,3.000000106112566e-06,1030764,0.0,0.0
2022-06-12 00:00:00+00:00,3.000000106112566e-06,9.999999747378752e-06,3.000000106112566e-06,6.000000212225132e-06,1047101,0.0,0.0
2022-06-13 00:00:00+00:00,6.000000212225132e-06,1.4000000192027073e-05,4.999999873689376e-06,7.000000096013537e-06,1157845,0.0,0.0
2022-06-14 00:00:00+00:00,7.000000096013537e-06,1.8000000636675395e-05,7.000000096013537e-06,9.000000318337698e-06,1080085,0.0,0.0
2022-06-15 00:00:00+00:00,9.000000318337698e-06,1.5999999959603883e-05,9.000000318337698e-06,1.4000000192027073e-05,1699137,0.0,0.0
2022-06-16 00:00:00+00:00,1.4000000192027073e-05,1.5999999959603883e-05,9.999999747378752e-06,9.999999747378752e-06,1389780,0.0,0.0
