TIMESTAMP,SILLYCAT_OPEN_PRICE_USD,SILLYCAT_HIGH_PRICE_USD,SILLYCAT_LOW_PRICE_USD,SILLYCAT_CLOSE_PRICE_USD,SILLYCAT_VOLUME_USD,SILLYCAT_DIVIDENDS_USD,SILLYCAT_STOCK_SPLITS_USD
2024-02-14 00:00:00+00:00,,,,0.0,847772,0.0,0.0
2024-02-15 00:00:00+00:00,,,,0.0,2168197,0.0,0.0
2024-02-16 00:00:00+00:00,,,,0.0,1095547,0.0,0.0
2024-02-17 00:00:00+00:00,,,,0.0,263539,0.0,0.0
2024-02-18 00:00:00+00:00,,,,0.0,164729,0.0,0.0
2024-02-19 00:00:00+00:00,,,,0.0,168752,0.0,0.0
2024-02-20 00:00:00+00:00,,,,0.0,90665,0.0,0.0
2024-02-21 00:00:00+00:00,,,,0.0,37003,0.0,0.0
2024-02-22 00:00:00+00:00,,,,0.0,37995,0.0,0.0
2024-02-23 00:00:00+00:00,,,,0.0,25316,0.0,0.0
2024-02-24 00:00:00+00:00,,,,0.0,24025,0.0,0.0
2024-02-25 00:00:00+00:00,,,,0.0,47622,0.0,0.0
2024-02-26 00:00:00+00:00,,,,0.0,19223,0.0,0.0
2024-02-27 00:00:00+00:00,,,,0.0,12498,0.0,0.0
2024-02-28 00:00:00+00:00,,,,0.0,18638,0.0,0.0
2024-02-29 00:00:00+00:00,,,,0.0,52329,0.0,0.0
2024-03-01 00:00:00+00:00,,,,0.0,40554,0.0,0.0
2024-03-02 00:00:00+00:00,,,,0.0,43759,0.0,0.0
2024-03-03 00:00:00+00:00,,,,0.0,87081,0.0,0.0
2024-03-04 00:00:00+00:00,,,,0.0,119971,0.0,0.0
2024-03-05 00:00:00+00:00,,,,0.0,31658,0.0,0.0
2024-03-06 00:00:00+00:00,,,,0.0,68790,0.0,0.0
2024-03-07 00:00:00+00:00,,,,0.0,50341,0.0,0.0
2024-03-08 00:00:00+00:00,,,,0.0,205371,0.0,0.0
2024-03-09 00:00:00+00:00,,,,0.0,240586,0.0,0.0
2024-03-10 00:00:00+00:00,,,,0.0,140990,0.0,0.0
2024-03-11 00:00:00+00:00,,,,0.0,112066,0.0,0.0
2024-03-12 00:00:00+00:00,,,,0.0,61558,0.0,0.0
2024-03-13 00:00:00+00:00,,,,0.0,213873,0.0,0.0
2024-03-14 00:00:00+00:00,,,,0.0,622868,0.0,0.0
2024-03-15 00:00:00+00:00,,,,0.0,1451569,0.0,0.0
2024-03-16 00:00:00+00:00,,,,0.0,1390284,0.0,0.0
2024-03-17 00:00:00+00:00,,,,0.0,441523,0.0,0.0
2024-03-18 00:00:00+00:00,,,,0.0,118961,0.0,0.0
2024-03-19 00:00:00+00:00,,,,0.0,64708,0.0,0.0
2024-03-20 00:00:00+00:00,,,,0.0,58777,0.0,0.0
2024-03-21 00:00:00+00:00,,,,0.0,328683,0.0,0.0
2024-03-22 00:00:00+00:00,,,,0.0,99265,0.0,0.0
2024-03-23 00:00:00+00:00,,,,0.0,131368,0.0,0.0
2024-03-24 00:00:00+00:00,,,,0.0,47029,0.0,0.0
