TIMESTAMP,ECT_CLOSE_PRICE_USD,ECT_OPEN_PRICE_USD,ECT_HIGH_PRICE_USD,ECT_LOW_PRICE_USD
2016-07-28,1.68,1.6,2.11,1.36
2016-07-29,1.64,1.68,1.79,1.52
2016-07-30,1.57,1.64,1.7,1.55
2016-07-31,1.79,1.57,1.92,1.41
2016-08-01,2.29,1.79,2.29,1.7
2016-08-02,2.6,2.29,3.64,2.07
2016-08-03,2.56,2.6,3.2,2.18
2016-08-04,2.28,2.56,2.77,2.1
2016-08-05,2.56,2.28,2.65,2.28
2016-08-06,2.67,2.56,2.88,2.5
2016-08-07,2.1,2.67,2.76,2.07
2016-08-08,2.13,2.1,2.4,1.95
2016-08-09,1.93,2.13,2.3,1.72
2016-08-10,1.69,1.93,2.06,1.6
2016-08-11,1.86,1.69,1.96,1.56
2016-08-12,1.82,1.86,2.09,1.81
2016-08-13,1.86,1.82,1.92,1.81
2016-08-14,1.92,1.86,1.99,1.86
2016-08-15,1.86,1.92,2.0,1.85
2016-08-16,1.86,1.86,1.89,1.8
2016-08-17,1.74,1.86,1.88,1.71
2016-08-18,1.69,1.74,1.78,1.63
2016-08-19,1.75,1.69,1.8,1.61
2016-08-20,1.74,1.75,1.76,1.69
2016-08-21,1.71,1.74,1.77,1.7
2016-08-22,1.66,1.71,1.74,1.62
2016-08-23,1.61,1.66,1.68,1.57
2016-08-24,1.47,1.61,1.79,1.42
2016-08-25,1.38,1.47,1.47,1.26
2016-08-26,1.43,1.38,1.46,1.32
2016-08-27,1.36,1.43,1.46,1.34
2016-08-28,1.36,1.36,1.36,1.3
2016-08-29,1.24,1.36,1.36,1.24
2016-08-30,1.24,1.24,1.31,1.15
2016-08-31,1.19,1.24,1.27,1.16
2016-09-01,1.48,1.19,1.49,1.17
2016-09-02,1.4,1.48,1.48,1.37
2016-09-03,1.36,1.4,1.41,1.32
2016-09-04,1.44,1.36,1.45,1.3
2016-09-05,1.46,1.44,1.55,1.44
