TIMESTAMP,HOUND_OPEN_PRICE_USD,HOUND_HIGH_PRICE_USD,HOUND_LOW_PRICE_USD,HOUND_CLOSE_PRICE_USD,HOUND_VOLUME_USD,HOUND_DIVIDENDS_USD,HOUND_STOCK_SPLITS_USD
2025-03-09 00:00:00+00:00,6.500000017695129e-05,6.800000119255856e-05,5.900000178371556e-05,5.900000178371556e-05,0,0.0,0.0
2025-03-10 00:00:00+00:00,5.900000178371556e-05,6.199999916134402e-05,5.199999941396527e-05,5.199999941396527e-05,198,0.0,0.0
2025-03-11 00:00:00+00:00,5.199999941396527e-05,5.8000001445179805e-05,5.199999941396527e-05,5.500000042957254e-05,0,0.0,0.0
2025-03-12 00:00:00+00:00,5.500000042957254e-05,5.500000042957254e-05,4.8999998398358e-05,5.199999941396527e-05,0,0.0,0.0
2025-03-13 00:00:00+00:00,5.199999941396527e-05,5.6000000768108293e-05,5.199999941396527e-05,5.199999941396527e-05,0,0.0,0.0
2025-03-14 00:00:00+00:00,5.199999941396527e-05,6.800000119255856e-05,5.199999941396527e-05,6.500000017695129e-05,0,0.0,0.0
2025-03-15 00:00:00+00:00,6.500000017695129e-05,7.200000254670158e-05,6.500000017695129e-05,7.100000220816582e-05,0,0.0,0.0
2025-03-16 00:00:00+00:00,7.100000220816582e-05,7.699999696342275e-05,7.100000220816582e-05,7.100000220816582e-05,127,0.0,0.0
2025-03-17 00:00:00+00:00,7.100000220816582e-05,7.599999662488699e-05,7.000000186963007e-05,7.300000288523734e-05,0,0.0,0.0
2025-03-18 00:00:00+00:00,7.300000288523734e-05,7.400000322377309e-05,6.500000017695129e-05,6.500000017695129e-05,0,0.0,0.0
2025-03-19 00:00:00+00:00,6.500000017695129e-05,6.900000153109431e-05,6.399999983841553e-05,6.900000153109431e-05,0,0.0,0.0
2025-03-20 00:00:00+00:00,6.900000153109431e-05,6.900000153109431e-05,6.500000017695129e-05,6.500000017695129e-05,0,0.0,0.0
2025-03-21 00:00:00+00:00,6.500000017695129e-05,7.699999696342275e-05,6.500000017695129e-05,7.300000288523734e-05,2533,0.0,0.0
2025-03-22 00:00:00+00:00,7.300000288523734e-05,7.400000322377309e-05,7.000000186963007e-05,7.400000322377309e-05,0,0.0,0.0
2025-03-23 00:00:00+00:00,7.400000322377309e-05,7.599999662488699e-05,7.300000288523734e-05,7.500000356230885e-05,0,0.0,0.0
2025-03-24 00:00:00+00:00,7.500000356230885e-05,8.199999865610152e-05,7.500000356230885e-05,7.999999797903001e-05,36,0.0,0.0
2025-03-25 00:00:00+00:00,7.999999797903001e-05,8.199999865610152e-05,7.999999797903001e-05,7.999999797903001e-05,0,0.0,0.0
2025-03-26 00:00:00+00:00,7.999999797903001e-05,7.999999797903001e-05,7.400000322377309e-05,7.400000322377309e-05,0,0.0,0.0
2025-03-27 00:00:00+00:00,7.400000322377309e-05,7.400000322377309e-05,7.100000220816582e-05,7.100000220816582e-05,9,0.0,0.0
2025-03-28 00:00:00+00:00,7.100000220816582e-05,7.100000220816582e-05,6.500000017695129e-05,6.600000051548705e-05,0,0.0,0.0
2025-03-29 00:00:00+00:00,6.600000051548705e-05,6.600000051548705e-05,6.299999949987978e-05,6.299999949987978e-05,0,0.0,0.0
2025-03-30 00:00:00+00:00,6.299999949987978e-05,6.399999983841553e-05,6.299999949987978e-05,6.399999983841553e-05,0,0.0,0.0
2025-03-31 00:00:00+00:00,6.399999983841553e-05,6.399999983841553e-05,5.999999848427251e-05,6.199999916134402e-05,0,0.0,0.0
2025-04-01 00:00:00+00:00,6.199999916134402e-05,6.399999983841553e-05,6.199999916134402e-05,6.399999983841553e-05,0,0.0,0.0
2025-04-02 00:00:00+00:00,6.399999983841553e-05,6.70000008540228e-05,6.0999998822808266e-05,6.0999998822808266e-05,0,0.0,0.0
2025-04-03 00:00:00+00:00,6.0999998822808266e-05,6.399999983841553e-05,5.900000178371556e-05,5.999999848427251e-05,0,0.0,0.0
