TIMESTAMP,TSLA33436_OPEN_PRICE_USD,TSLA33436_HIGH_PRICE_USD,TSLA33436_LOW_PRICE_USD,TSLA33436_CLOSE_PRICE_USD,TSLA33436_VOLUME_USD,TSLA33436_DIVIDENDS_USD,TSLA33436_STOCK_SPLITS_USD
2024-10-14 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,346777,0.0,0.0
2024-10-15 00:00:00+00:00,,,,0.0,265647,0.0,0.0
2024-10-16 00:00:00+00:00,,,,0.0,45511,0.0,0.0
2024-10-17 00:00:00+00:00,,,,0.0,14997,0.0,0.0
2024-10-18 00:00:00+00:00,,,,0.0,15873,0.0,0.0
2024-10-19 00:00:00+00:00,,,,0.0,25621,0.0,0.0
2024-10-20 00:00:00+00:00,,,,0.0,31343,0.0,0.0
2024-10-21 00:00:00+00:00,,,,0.0,6351,0.0,0.0
2024-10-22 00:00:00+00:00,,,,0.0,6607,0.0,0.0
2024-10-23 00:00:00+00:00,,,,0.0,17951,0.0,0.0
2024-10-24 00:00:00+00:00,0.0,1.9999999949504854e-06,0.0,9.999999974752427e-07,962773,0.0,0.0
2024-10-25 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,267475,0.0,0.0
2024-10-26 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,78262,0.0,0.0
2024-10-27 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,25833,0.0,0.0
2024-10-28 00:00:00+00:00,,,,0.0,44410,0.0,0.0
2024-10-29 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,22945,0.0,0.0
2024-10-30 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,21993,0.0,0.0
2024-10-31 00:00:00+00:00,,,,0.0,24060,0.0,0.0
2024-11-01 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,25017,0.0,0.0
2024-11-02 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,29126,0.0,0.0
2024-11-03 00:00:00+00:00,,,,0.0,19453,0.0,0.0
2024-11-04 00:00:00+00:00,,,,0.0,11446,0.0,0.0
2024-11-05 00:00:00+00:00,,,,0.0,7256,0.0,0.0
2024-11-06 00:00:00+00:00,0.0,1.9999999949504854e-06,0.0,9.999999974752427e-07,139584,0.0,0.0
2024-11-07 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,92337,0.0,0.0
2024-11-08 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,92288,0.0,0.0
2024-11-09 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,26206,0.0,0.0
2024-11-10 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,52780,0.0,0.0
2024-11-11 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,105490,0.0,0.0
2024-11-12 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,91887,0.0,0.0
2024-11-13 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,36215,0.0,0.0
