TIMESTAMP,CRBRUS_OPEN_PRICE_USD,CRBRUS_HIGH_PRICE_USD,CRBRUS_LOW_PRICE_USD,CRBRUS_CLOSE_PRICE_USD,CRBRUS_VOLUME_USD,CRBRUS_DIVIDENDS_USD,CRBRUS_STOCK_SPLITS_USD
2023-12-14 00:00:00+00:00,5.199999941396527e-05,5.400000009103678e-05,4.400000034365803e-05,4.5000000682193786e-05,53029,0.0,0.0
2023-12-15 00:00:00+00:00,4.3000000005122274e-05,6.399999983841553e-05,3.7000001611886546e-05,5.6000000768108293e-05,91125,0.0,0.0
2023-12-16 00:00:00+00:00,5.6000000768108293e-05,5.6000000768108293e-05,3.7000001611886546e-05,3.9999998989515007e-05,102164,0.0,0.0
2023-12-17 00:00:00+00:00,3.9999998989515007e-05,4.199999966658652e-05,3.7000001611886546e-05,3.899999865097925e-05,32776,0.0,0.0
2023-12-18 00:00:00+00:00,3.899999865097925e-05,4.3000000005122274e-05,2.9999999242136255e-05,2.9999999242136255e-05,33087,0.0,0.0
2023-12-19 00:00:00+00:00,2.9999999242136255e-05,2.9999999242136255e-05,1.9999999494757503e-05,2.099999983329326e-05,17203,0.0,0.0
2023-12-20 00:00:00+00:00,2.099999983329326e-05,3.099999958067201e-05,2.099999983329326e-05,2.8000000384054147e-05,26192,0.0,0.0
2023-12-21 00:00:00+00:00,2.8000000384054147e-05,3.099999958067201e-05,2.700000004551839e-05,3.099999958067201e-05,14765,0.0,0.0
2023-12-22 00:00:00+00:00,3.099999958067201e-05,3.099999958067201e-05,2.8000000384054147e-05,2.9000000722589903e-05,11917,0.0,0.0
2023-12-23 00:00:00+00:00,2.9000000722589903e-05,2.9000000722589903e-05,2.700000004551839e-05,2.8000000384054147e-05,4688,0.0,0.0
2023-12-24 00:00:00+00:00,2.8000000384054147e-05,2.9999999242136255e-05,2.700000004551839e-05,2.8000000384054147e-05,10741,0.0,0.0
2023-12-25 00:00:00+00:00,2.8000000384054147e-05,2.8000000384054147e-05,2.5999999706982635e-05,2.5999999706982635e-05,7742,0.0,0.0
2023-12-26 00:00:00+00:00,2.5999999706982635e-05,2.5999999706982635e-05,2.4000000848900527e-05,2.499999936844688e-05,8689,0.0,0.0
2023-12-27 00:00:00+00:00,2.499999936844688e-05,2.700000004551839e-05,2.499999936844688e-05,2.700000004551839e-05,2188,0.0,0.0
