,Frequency,ADF_P_Val,ADF_Determination,KPSS_P_Val,KPSS_Determination
0,12_Hour,0.654750224585676,Non-Stationary,0.01,Non-Stationary
1,1_Day,0.0017155998394406836,Stationary,0.01,Non-Stationary
2,1_Hour,0.6995022686511585,Non-Stationary,0.01,Non-Stationary
3,2_Hour,0.6812881163239288,Non-Stationary,0.01,Non-Stationary
4,4_Hour,0.6406900532648347,Non-Stationary,0.01,Non-Stationary
5,6_Hour,0.8114286718724267,Non-Stationary,0.01,Non-Stationary
6,8_Hour,0.6938225265911724,Non-Stationary,0.01,Non-Stationary
