TIMESTAMP,XAI25143_OPEN_PRICE_USD,XAI25143_HIGH_PRICE_USD,XAI25143_LOW_PRICE_USD,XAI25143_CLOSE_PRICE_USD,XAI25143_VOLUME_USD,XAI25143_DIVIDENDS_USD,XAI25143_STOCK_SPLITS_USD
2023-05-10 00:00:00+00:00,,,,0.0,505470,0.0,0.0
2023-05-11 00:00:00+00:00,,,,0.0,389006,0.0,0.0
2023-05-12 00:00:00+00:00,,,,0.0,52834,0.0,0.0
2023-05-13 00:00:00+00:00,,,,0.0,23381,0.0,0.0
2023-05-14 00:00:00+00:00,,,,0.0,22539,0.0,0.0
2023-05-15 00:00:00+00:00,,,,0.0,21291,0.0,0.0
2023-05-16 00:00:00+00:00,,,,0.0,6897,0.0,0.0
2023-05-17 00:00:00+00:00,,,,0.0,5533,0.0,0.0
2023-05-18 00:00:00+00:00,,,,0.0,5885,0.0,0.0
2023-05-19 00:00:00+00:00,,,,0.0,12696,0.0,0.0
2023-05-20 00:00:00+00:00,,,,0.0,3791,0.0,0.0
2023-05-21 00:00:00+00:00,,,,0.0,938,0.0,0.0
2023-05-22 00:00:00+00:00,,,,0.0,371,0.0,0.0
2023-05-23 00:00:00+00:00,,,,0.0,2279,0.0,0.0
2023-05-24 00:00:00+00:00,,,,0.0,630,0.0,0.0
2023-05-25 00:00:00+00:00,,,,0.0,5850,0.0,0.0
2023-05-26 00:00:00+00:00,,,,0.0,2676,0.0,0.0
2023-05-27 00:00:00+00:00,,,,0.0,628,0.0,0.0
2023-05-28 00:00:00+00:00,,,,0.0,2429,0.0,0.0
2023-05-29 00:00:00+00:00,,,,0.0,617,0.0,0.0
2023-05-30 00:00:00+00:00,,,,0.0,2745,0.0,0.0
2023-05-31 00:00:00+00:00,,,,0.0,1641,0.0,0.0
2023-06-01 00:00:00+00:00,,,,0.0,459,0.0,0.0
2023-06-02 00:00:00+00:00,,,,0.0,3025,0.0,0.0
2023-06-03 00:00:00+00:00,,,,0.0,115,0.0,0.0
2023-06-04 00:00:00+00:00,,,,0.0,739,0.0,0.0
2023-06-05 00:00:00+00:00,,,,0.0,710,0.0,0.0
2023-06-06 00:00:00+00:00,,,,0.0,2006,0.0,0.0
2023-06-07 00:00:00+00:00,,,,0.0,1774,0.0,0.0
2023-06-08 00:00:00+00:00,,,,0.0,514,0.0,0.0
