TIMESTAMP,VANCE32277_OPEN_PRICE_USD,VANCE32277_HIGH_PRICE_USD,VANCE32277_LOW_PRICE_USD,VANCE32277_CLOSE_PRICE_USD,VANCE32277_VOLUME_USD,VANCE32277_DIVIDENDS_USD,VANCE32277_STOCK_SPLITS_USD
2024-07-18 00:00:00+00:00,2.300000051036477e-05,2.4000000848900527e-05,1.1000000085914508e-05,1.2999999853491317e-05,1594854,0.0,0.0
2024-07-19 00:00:00+00:00,1.2999999853491317e-05,1.5999999959603883e-05,9.999999747378752e-06,1.4000000192027073e-05,635717,0.0,0.0
2024-07-20 00:00:00+00:00,1.4000000192027073e-05,1.4999999621068127e-05,9.999999747378752e-06,1.2000000424450263e-05,227129,0.0,0.0
2024-07-21 00:00:00+00:00,1.2000000424450263e-05,1.9999999494757503e-05,1.1000000085914508e-05,1.5999999959603883e-05,306046,0.0,0.0
2024-07-22 00:00:00+00:00,1.4000000192027073e-05,1.5999999959603883e-05,1.1000000085914508e-05,1.2000000424450263e-05,213669,0.0,0.0
2024-07-23 00:00:00+00:00,1.2000000424450263e-05,1.700000029813964e-05,1.1000000085914508e-05,1.2000000424450263e-05,286573,0.0,0.0
2024-07-24 00:00:00+00:00,1.2000000424450263e-05,2.300000051036477e-05,1.2000000424450263e-05,1.700000029813964e-05,517824,0.0,0.0
2024-07-25 00:00:00+00:00,1.700000029813964e-05,1.8999999156221747e-05,1.2999999853491317e-05,1.5999999959603883e-05,206423,0.0,0.0
2024-07-26 00:00:00+00:00,1.5999999959603883e-05,1.5999999959603883e-05,1.2000000424450263e-05,1.2000000424450263e-05,146422,0.0,0.0
2024-07-27 00:00:00+00:00,1.2000000424450263e-05,1.2999999853491317e-05,9.000000318337698e-06,9.999999747378752e-06,186741,0.0,0.0
2024-07-28 00:00:00+00:00,9.999999747378752e-06,9.999999747378752e-06,4.999999873689376e-06,6.000000212225132e-06,149997,0.0,0.0
2024-07-29 00:00:00+00:00,6.000000212225132e-06,7.999999979801942e-06,4.999999873689376e-06,6.000000212225132e-06,77108,0.0,0.0
2024-07-30 00:00:00+00:00,6.000000212225132e-06,7.999999979801942e-06,4.999999873689376e-06,4.999999873689376e-06,40638,0.0,0.0
