TIMESTAMP,BLACKDRAGON_OPEN_PRICE_USD,BLACKDRAGON_HIGH_PRICE_USD,BLACKDRAGON_LOW_PRICE_USD,BLACKDRAGON_CLOSE_PRICE_USD,BLACKDRAGON_VOLUME_USD,BLACKDRAGON_DIVIDENDS_USD,BLACKDRAGON_STOCK_SPLITS_USD
2024-03-04 00:00:00+00:00,,,,0.0,86732,0.0,0.0
2024-03-05 00:00:00+00:00,,,,0.0,55621,0.0,0.0
2024-03-06 00:00:00+00:00,,,,0.0,200432,0.0,0.0
2024-03-07 00:00:00+00:00,,,,0.0,143528,0.0,0.0
2024-03-08 00:00:00+00:00,,,,0.0,144472,0.0,0.0
2024-03-09 00:00:00+00:00,,,,0.0,335624,0.0,0.0
2024-03-10 00:00:00+00:00,,,,0.0,149862,0.0,0.0
2024-03-11 00:00:00+00:00,,,,0.0,348860,0.0,0.0
2024-03-12 00:00:00+00:00,,,,0.0,191309,0.0,0.0
2024-03-13 00:00:00+00:00,,,,0.0,545682,0.0,0.0
2024-03-14 00:00:00+00:00,,,,0.0,607412,0.0,0.0
2024-03-15 00:00:00+00:00,,,,0.0,571348,0.0,0.0
2024-03-16 00:00:00+00:00,,,,0.0,348487,0.0,0.0
2024-03-17 00:00:00+00:00,,,,0.0,417857,0.0,0.0
2024-03-18 00:00:00+00:00,,,,0.0,311085,0.0,0.0
2024-03-19 00:00:00+00:00,,,,0.0,176107,0.0,0.0
2024-03-20 00:00:00+00:00,,,,0.0,315251,0.0,0.0
2024-03-21 00:00:00+00:00,,,,0.0,193487,0.0,0.0
2024-03-22 00:00:00+00:00,,,,0.0,108221,0.0,0.0
2024-03-23 00:00:00+00:00,,,,0.0,59756,0.0,0.0
2024-03-24 00:00:00+00:00,,,,0.0,73772,0.0,0.0
2024-03-25 00:00:00+00:00,,,,0.0,94406,0.0,0.0
2024-03-26 00:00:00+00:00,,,,0.0,476859,0.0,0.0
2024-03-27 00:00:00+00:00,,,,0.0,911793,0.0,0.0
2024-03-28 00:00:00+00:00,,,,0.0,609690,0.0,0.0
2024-03-29 00:00:00+00:00,,,,0.0,383875,0.0,0.0
2024-03-30 00:00:00+00:00,,,,0.0,225517,0.0,0.0
2024-03-31 00:00:00+00:00,,,,0.0,161172,0.0,0.0
2024-04-01 00:00:00+00:00,,,,0.0,164986,0.0,0.0
2024-04-02 00:00:00+00:00,,,,0.0,115984,0.0,0.0
2024-04-03 00:00:00+00:00,,,,0.0,46746,0.0,0.0
2024-04-04 00:00:00+00:00,,,,0.0,25550,0.0,0.0
2024-04-05 00:00:00+00:00,,,,0.0,12411,0.0,0.0
2024-04-06 00:00:00+00:00,,,,0.0,17653,0.0,0.0
2024-04-07 00:00:00+00:00,,,,0.0,29060,0.0,0.0
2024-04-08 00:00:00+00:00,,,,0.0,23607,0.0,0.0
2024-04-09 00:00:00+00:00,,,,0.0,11102,0.0,0.0
2024-04-10 00:00:00+00:00,,,,0.0,7560,0.0,0.0
2024-04-11 00:00:00+00:00,,,,0.0,6871,0.0,0.0
2024-04-12 00:00:00+00:00,,,,0.0,21199,0.0,0.0
2024-04-13 00:00:00+00:00,,,,0.0,19746,0.0,0.0
2024-04-14 00:00:00+00:00,,,,0.0,16983,0.0,0.0
2024-04-15 00:00:00+00:00,,,,0.0,13546,0.0,0.0
2024-04-16 00:00:00+00:00,,,,0.0,13092,0.0,0.0
2024-04-17 00:00:00+00:00,,,,0.0,11905,0.0,0.0
2024-04-18 00:00:00+00:00,,,,0.0,12857,0.0,0.0
2024-04-19 00:00:00+00:00,,,,0.0,10504,0.0,0.0
2024-04-20 00:00:00+00:00,,,,0.0,9133,0.0,0.0
2024-04-21 00:00:00+00:00,,,,0.0,16855,0.0,0.0
2024-04-22 00:00:00+00:00,0.0,0.00011000000085914508,0.0,9.999999974752427e-07,24398,0.0,0.0
2024-04-23 00:00:00+00:00,9.999999974752427e-07,0.00010599999950500205,0.0,7.899999764049426e-05,20541,0.0,0.0
2024-04-24 00:00:00+00:00,,,,0.0,19998,0.0,0.0
2024-04-25 00:00:00+00:00,,,,0.0,12947,0.0,0.0
2024-04-26 00:00:00+00:00,,,,0.0,12768,0.0,0.0
2024-04-27 00:00:00+00:00,,,,0.0,14387,0.0,0.0
2024-04-28 00:00:00+00:00,,,,0.0,10563,0.0,0.0
2024-04-29 00:00:00+00:00,,,,0.0,10574,0.0,0.0
2024-04-30 00:00:00+00:00,,,,0.0,13320,0.0,0.0
2024-05-01 00:00:00+00:00,,,,0.0,11988,0.0,0.0
2024-05-02 00:00:00+00:00,,,,0.0,14109,0.0,0.0
2024-05-03 00:00:00+00:00,,,,0.0,10820,0.0,0.0
2024-05-04 00:00:00+00:00,,,,0.0,6978,0.0,0.0
2024-05-05 00:00:00+00:00,0.0,0.013195999898016453,0.0,4.999999873689376e-06,10780,0.0,0.0
2024-05-06 00:00:00+00:00,,,,0.0,9881,0.0,0.0
2024-05-07 00:00:00+00:00,,,,0.0,8144,0.0,0.0
2024-05-08 00:00:00+00:00,,,,0.0,7940,0.0,0.0
2024-05-09 00:00:00+00:00,,,,0.0,7063,0.0,0.0
2024-05-10 00:00:00+00:00,,,,0.0,11442,0.0,0.0
2024-05-11 00:00:00+00:00,,,,0.0,11525,0.0,0.0
2024-05-12 00:00:00+00:00,,,,0.0,10805,0.0,0.0
2024-05-13 00:00:00+00:00,,,,0.0,32351,0.0,0.0
2024-05-14 00:00:00+00:00,,,,0.0,17416,0.0,0.0
2024-05-15 00:00:00+00:00,,,,0.0,37648,0.0,0.0
2024-05-16 00:00:00+00:00,,,,0.0,36324,0.0,0.0
2024-05-17 00:00:00+00:00,,,,0.0,53678,0.0,0.0
2024-05-18 00:00:00+00:00,,,,0.0,22373,0.0,0.0
2024-05-19 00:00:00+00:00,,,,0.0,23019,0.0,0.0
2024-05-20 00:00:00+00:00,,,,0.0,20114,0.0,0.0
2024-05-21 00:00:00+00:00,,,,0.0,36418,0.0,0.0
2024-05-22 00:00:00+00:00,,,,0.0,33006,0.0,0.0
2024-05-23 00:00:00+00:00,,,,0.0,44546,0.0,0.0
