TIMESTAMP,HAREPLUS_OPEN_PRICE_USD,HAREPLUS_HIGH_PRICE_USD,HAREPLUS_LOW_PRICE_USD,HAREPLUS_CLOSE_PRICE_USD,HAREPLUS_VOLUME_USD,HAREPLUS_DIVIDENDS_USD,HAREPLUS_STOCK_SPLITS_USD
2022-02-26 00:00:00+00:00,,,,0.0,87884,0.0,0.0
2022-02-27 00:00:00+00:00,,,,0.0,47297,0.0,0.0
2022-02-28 00:00:00+00:00,,,,0.0,46731,0.0,0.0
2022-03-01 00:00:00+00:00,,,,0.0,67468,0.0,0.0
2022-03-02 00:00:00+00:00,,,,0.0,67728,0.0,0.0
2022-03-03 00:00:00+00:00,,,,0.0,52623,0.0,0.0
2022-03-04 00:00:00+00:00,,,,0.0,33142,0.0,0.0
2022-03-05 00:00:00+00:00,,,,0.0,25515,0.0,0.0
2022-03-06 00:00:00+00:00,,,,0.0,30321,0.0,0.0
2022-03-07 00:00:00+00:00,,,,0.0,28212,0.0,0.0
2022-03-08 00:00:00+00:00,,,,0.0,29203,0.0,0.0
2022-03-09 00:00:00+00:00,,,,0.0,701695,0.0,0.0
2022-03-10 00:00:00+00:00,,,,0.0,836199,0.0,0.0
2022-03-11 00:00:00+00:00,,,,0.0,242968,0.0,0.0
2022-03-12 00:00:00+00:00,,,,0.0,117630,0.0,0.0
2022-03-13 00:00:00+00:00,,,,0.0,221147,0.0,0.0
2022-03-14 00:00:00+00:00,,,,0.0,201479,0.0,0.0
2022-03-15 00:00:00+00:00,,,,0.0,78900,0.0,0.0
2022-03-16 00:00:00+00:00,,,,0.0,57306,0.0,0.0
2022-03-17 00:00:00+00:00,,,,0.0,35258,0.0,0.0
2022-03-18 00:00:00+00:00,,,,0.0,52858,0.0,0.0
2022-03-19 00:00:00+00:00,,,,0.0,68347,0.0,0.0
2022-03-20 00:00:00+00:00,,,,0.0,175150,0.0,0.0
2022-03-21 00:00:00+00:00,,,,0.0,155415,0.0,0.0
2022-03-22 00:00:00+00:00,,,,0.0,38828,0.0,0.0
2022-03-23 00:00:00+00:00,,,,0.0,62327,0.0,0.0
2022-03-24 00:00:00+00:00,,,,0.0,49588,0.0,0.0
2022-03-25 00:00:00+00:00,,,,0.0,25139,0.0,0.0
2022-03-26 00:00:00+00:00,,,,0.0,15580,0.0,0.0
2022-03-27 00:00:00+00:00,,,,0.0,22969,0.0,0.0
2022-03-28 00:00:00+00:00,,,,0.0,52220,0.0,0.0
2022-03-29 00:00:00+00:00,,,,0.0,61412,0.0,0.0
2022-03-30 00:00:00+00:00,,,,0.0,41452,0.0,0.0
2022-03-31 00:00:00+00:00,,,,0.0,33408,0.0,0.0
2022-04-01 00:00:00+00:00,,,,0.0,34611,0.0,0.0
2022-04-02 00:00:00+00:00,,,,0.0,18130,0.0,0.0
2022-04-03 00:00:00+00:00,,,,0.0,8587,0.0,0.0
2022-04-04 00:00:00+00:00,,,,0.0,16164,0.0,0.0
2022-04-05 00:00:00+00:00,,,,0.0,15227,0.0,0.0
2022-04-06 00:00:00+00:00,,,,0.0,11743,0.0,0.0
2022-04-07 00:00:00+00:00,,,,0.0,14654,0.0,0.0
2022-04-08 00:00:00+00:00,,,,0.0,19352,0.0,0.0
2022-04-09 00:00:00+00:00,,,,0.0,28531,0.0,0.0
2022-04-10 00:00:00+00:00,,,,0.0,20718,0.0,0.0
2022-04-11 00:00:00+00:00,,,,0.0,8819,0.0,0.0
2022-04-12 00:00:00+00:00,,,,0.0,8686,0.0,0.0
2022-04-13 00:00:00+00:00,,,,0.0,7213,0.0,0.0
2022-04-14 00:00:00+00:00,,,,0.0,7041,0.0,0.0
2022-04-15 00:00:00+00:00,,,,0.0,6948,0.0,0.0
2022-04-16 00:00:00+00:00,,,,0.0,6256,0.0,0.0
2022-04-17 00:00:00+00:00,,,,0.0,5981,0.0,0.0
2022-04-18 00:00:00+00:00,,,,0.0,8278,0.0,0.0
2022-04-19 00:00:00+00:00,,,,0.0,13067,0.0,0.0
2022-04-20 00:00:00+00:00,,,,0.0,10389,0.0,0.0
2022-04-21 00:00:00+00:00,,,,0.0,6711,0.0,0.0
2022-04-22 00:00:00+00:00,,,,0.0,11791,0.0,0.0
2022-04-23 00:00:00+00:00,,,,0.0,12281,0.0,0.0
2022-04-24 00:00:00+00:00,,,,0.0,9109,0.0,0.0
2022-04-25 00:00:00+00:00,,,,0.0,7789,0.0,0.0
