TIMESTAMP,CRAZYBUNNY_OPEN_PRICE_USD,CRAZYBUNNY_HIGH_PRICE_USD,CRAZYBUNNY_LOW_PRICE_USD,CRAZYBUNNY_CLOSE_PRICE_USD,CRAZYBUNNY_VOLUME_USD,CRAZYBUNNY_DIVIDENDS_USD,CRAZYBUNNY_STOCK_SPLITS_USD
2023-04-07 00:00:00+00:00,,,,0.0,371934,0.0,0.0
2023-04-08 00:00:00+00:00,,,,0.0,238383,0.0,0.0
2023-04-09 00:00:00+00:00,,,,0.0,71661,0.0,0.0
2023-04-10 00:00:00+00:00,,,,0.0,157822,0.0,0.0
2023-04-11 00:00:00+00:00,,,,0.0,81942,0.0,0.0
2023-04-12 00:00:00+00:00,,,,0.0,298530,0.0,0.0
2023-04-13 00:00:00+00:00,,,,0.0,162542,0.0,0.0
2023-04-14 00:00:00+00:00,,,,0.0,76863,0.0,0.0
2023-04-15 00:00:00+00:00,,,,0.0,88315,0.0,0.0
2023-04-16 00:00:00+00:00,,,,0.0,49265,0.0,0.0
2023-04-17 00:00:00+00:00,,,,0.0,76229,0.0,0.0
2023-04-18 00:00:00+00:00,,,,0.0,118390,0.0,0.0
2023-04-19 00:00:00+00:00,,,,0.0,103549,0.0,0.0
2023-04-20 00:00:00+00:00,,,,0.0,95969,0.0,0.0
2023-04-21 00:00:00+00:00,,,,0.0,57721,0.0,0.0
2023-04-22 00:00:00+00:00,,,,0.0,136259,0.0,0.0
2023-04-23 00:00:00+00:00,,,,0.0,66827,0.0,0.0
2023-04-24 00:00:00+00:00,,,,0.0,59635,0.0,0.0
2023-04-25 00:00:00+00:00,,,,0.0,51539,0.0,0.0
2023-04-26 00:00:00+00:00,,,,0.0,27033,0.0,0.0
2023-04-27 00:00:00+00:00,,,,0.0,124134,0.0,0.0
2023-04-28 00:00:00+00:00,,,,0.0,42491,0.0,0.0
2023-04-29 00:00:00+00:00,,,,0.0,49369,0.0,0.0
2023-04-30 00:00:00+00:00,,,,0.0,22837,0.0,0.0
2023-05-01 00:00:00+00:00,,,,0.0,21528,0.0,0.0
2023-05-02 00:00:00+00:00,,,,0.0,25072,0.0,0.0
2023-05-03 00:00:00+00:00,,,,0.0,130799,0.0,0.0
2023-05-04 00:00:00+00:00,,,,0.0,38420,0.0,0.0
2023-05-05 00:00:00+00:00,,,,0.0,78351,0.0,0.0
2023-05-06 00:00:00+00:00,,,,0.0,34205,0.0,0.0
2023-05-07 00:00:00+00:00,,,,0.0,46987,0.0,0.0
2023-05-08 00:00:00+00:00,,,,0.0,34373,0.0,0.0
2023-05-09 00:00:00+00:00,,,,0.0,11522,0.0,0.0
2023-05-10 00:00:00+00:00,,,,0.0,25646,0.0,0.0
2023-05-11 00:00:00+00:00,,,,0.0,19166,0.0,0.0
2023-05-12 00:00:00+00:00,,,,0.0,36253,0.0,0.0
2023-05-13 00:00:00+00:00,,,,0.0,8368,0.0,0.0
2023-05-14 00:00:00+00:00,,,,0.0,8133,0.0,0.0
2023-05-15 00:00:00+00:00,,,,0.0,11391,0.0,0.0
2023-05-16 00:00:00+00:00,,,,0.0,11395,0.0,0.0
2023-05-17 00:00:00+00:00,,,,0.0,5273,0.0,0.0
2023-05-18 00:00:00+00:00,,,,0.0,8588,0.0,0.0
2023-05-19 00:00:00+00:00,,,,0.0,3370,0.0,0.0
2023-05-20 00:00:00+00:00,,,,0.0,21354,0.0,0.0
2023-05-21 00:00:00+00:00,,,,0.0,38099,0.0,0.0
2023-05-22 00:00:00+00:00,,,,0.0,24283,0.0,0.0
2023-05-23 00:00:00+00:00,,,,0.0,9585,0.0,0.0
2023-05-24 00:00:00+00:00,,,,0.0,24218,0.0,0.0
2023-05-25 00:00:00+00:00,,,,0.0,75198,0.0,0.0
2023-05-26 00:00:00+00:00,,,,0.0,290275,0.0,0.0
2023-05-27 00:00:00+00:00,,,,0.0,44016,0.0,0.0
2023-05-28 00:00:00+00:00,,,,0.0,16175,0.0,0.0
2023-05-29 00:00:00+00:00,,,,0.0,8076,0.0,0.0
2023-05-30 00:00:00+00:00,,,,0.0,4874,0.0,0.0
2023-05-31 00:00:00+00:00,,,,0.0,6374,0.0,0.0
2023-06-01 00:00:00+00:00,,,,0.0,7258,0.0,0.0
