TIMESTAMP,BOG33663_OPEN_PRICE_USD,BOG33663_HIGH_PRICE_USD,BOG33663_LOW_PRICE_USD,BOG33663_CLOSE_PRICE_USD,BOG33663_VOLUME_USD,BOG33663_DIVIDENDS_USD,BOG33663_STOCK_SPLITS_USD
2024-10-28 00:00:00+00:00,,,,0.0,62089,0.0,0.0
2024-10-29 00:00:00+00:00,,,,0.0,61142,0.0,0.0
2024-10-30 00:00:00+00:00,,,,0.0,30802,0.0,0.0
2024-10-31 00:00:00+00:00,,,,0.0,25341,0.0,0.0
2024-11-01 00:00:00+00:00,,,,0.0,75230,0.0,0.0
2024-11-02 00:00:00+00:00,,,,0.0,77476,0.0,0.0
2024-11-03 00:00:00+00:00,,,,0.0,288850,0.0,0.0
2024-11-04 00:00:00+00:00,,,,0.0,133640,0.0,0.0
2024-11-05 00:00:00+00:00,,,,0.0,52298,0.0,0.0
2024-11-06 00:00:00+00:00,,,,0.0,48473,0.0,0.0
2024-11-07 00:00:00+00:00,,,,0.0,27791,0.0,0.0
2024-11-08 00:00:00+00:00,,,,0.0,45409,0.0,0.0
2024-11-09 00:00:00+00:00,,,,0.0,27809,0.0,0.0
2024-11-10 00:00:00+00:00,,,,0.0,23763,0.0,0.0
2024-11-11 00:00:00+00:00,,,,0.0,30432,0.0,0.0
2024-11-12 00:00:00+00:00,,,,0.0,20350,0.0,0.0
2024-11-13 00:00:00+00:00,,,,0.0,40370,0.0,0.0
2024-11-14 00:00:00+00:00,,,,0.0,17277,0.0,0.0
2024-11-15 00:00:00+00:00,,,,0.0,6120,0.0,0.0
2024-11-16 00:00:00+00:00,,,,0.0,8579,0.0,0.0
2024-11-17 00:00:00+00:00,,,,0.0,8278,0.0,0.0
2024-11-18 00:00:00+00:00,,,,0.0,11439,0.0,0.0
2024-11-19 00:00:00+00:00,,,,0.0,5637,0.0,0.0
2024-11-20 00:00:00+00:00,,,,0.0,17819,0.0,0.0
2024-11-21 00:00:00+00:00,,,,0.0,12799,0.0,0.0
2024-11-22 00:00:00+00:00,,,,0.0,10688,0.0,0.0
