TIMESTAMP,ESHIB15428_OPEN_PRICE_USD,ESHIB15428_HIGH_PRICE_USD,ESHIB15428_LOW_PRICE_USD,ESHIB15428_CLOSE_PRICE_USD,ESHIB15428_VOLUME_USD,ESHIB15428_DIVIDENDS_USD,ESHIB15428_STOCK_SPLITS_USD
2021-12-02 00:00:00+00:00,,,,0.0,3431845,0.0,0.0
2021-12-03 00:00:00+00:00,,,,0.0,1393016,0.0,0.0
2021-12-04 00:00:00+00:00,,,,0.0,547642,0.0,0.0
2021-12-10 00:00:00+00:00,,,,0.0,269126,0.0,0.0
2021-12-11 00:00:00+00:00,,,,0.0,229564,0.0,0.0
2021-12-12 00:00:00+00:00,,,,0.0,187690,0.0,0.0
2021-12-13 00:00:00+00:00,,,,0.0,185070,0.0,0.0
2021-12-14 00:00:00+00:00,,,,0.0,151503,0.0,0.0
2021-12-15 00:00:00+00:00,,,,0.0,122608,0.0,0.0
2021-12-16 00:00:00+00:00,,,,0.0,102123,0.0,0.0
2021-12-17 00:00:00+00:00,,,,0.0,72122,0.0,0.0
2021-12-18 00:00:00+00:00,,,,0.0,50066,0.0,0.0
2021-12-19 00:00:00+00:00,,,,0.0,33228,0.0,0.0
2021-12-20 00:00:00+00:00,,,,0.0,65519,0.0,0.0
2021-12-21 00:00:00+00:00,,,,0.0,73798,0.0,0.0
2021-12-22 00:00:00+00:00,,,,0.0,51570,0.0,0.0
2021-12-23 00:00:00+00:00,,,,0.0,40372,0.0,0.0
2021-12-24 00:00:00+00:00,,,,0.0,34738,0.0,0.0
2021-12-25 00:00:00+00:00,,,,0.0,35151,0.0,0.0
2021-12-26 00:00:00+00:00,,,,0.0,29903,0.0,0.0
2021-12-27 00:00:00+00:00,,,,0.0,24152,0.0,0.0
2021-12-28 00:00:00+00:00,,,,0.0,40837,0.0,0.0
2021-12-29 00:00:00+00:00,,,,0.0,51524,0.0,0.0
2021-12-30 00:00:00+00:00,,,,0.0,35429,0.0,0.0
2021-12-31 00:00:00+00:00,,,,0.0,20196,0.0,0.0
2022-01-01 00:00:00+00:00,,,,0.0,22184,0.0,0.0
