,LTC,Lag
RLC,6.520135451132576e-17,1
DOGE,0.0001368066440541,30
ETH,0.0002576645279418,27
ZEN,0.0007264914413655,29
QTUM,0.0011568730379478,27
SC,0.001189088894904,26
LUNC,0.0019784623747753,30
DGB,0.0026608268475647,27
LSK,0.0027108269708105,24
DCR,0.0047320101992509,3
GNO,0.0062858466640214,6
BTC,0.0077710905730283,23
XRP,0.0113703878000124,29
KMD,0.0132399668702349,26
BTS,0.0296508530974064,2
ETC,0.0338123319255429,26
ANT,0.0446368321005936,1
PIVX,0.0577625305435438,25
WAVES,0.0586466581564058,24
MIOTA,0.0603197171091308,30
SYS,0.0646680935931861,5
XLM,0.0720062775042181,5
ZEC,0.0742476235481293,28
STEEM,0.1120490884010686,20
XMR,0.1163748831199514,4
BAT,0.1687659253270369,28
ARK,0.2093700984662572,7
FIRO,0.2280002846943553,3
XEM,0.240993631889865,24
DASH,0.3006093812460726,5
GAS,0.3734076456267046,7
