,XRP
ETH,0.6038095531032676
QTUM,0.5590193459180538
ETC,0.5269371444286352
LSK,0.5158246746564491
BTC,0.5078655685663297
XEM,0.4961457293135468
BTS,0.4948879582029474
SC,0.4943308594598588
DGB,0.4933212941010637
KMD,0.4932329266051591
ZEN,0.4853587256111257
ARK,0.4484637861698267
STEEM,0.4390254606507818
FIRO,0.4341246888753753
DCR,0.4334232655789626
ANT,0.4321298167969449
RLC,0.4298539124663246
GNO,0.3958709572075776
MAID,0.3950071668974371
SYS,0.3919653027999764
MONA,0.3465009260705725
DOGE,0.265136117683488
VERI,0.2214360086421018
CON,0.1036881072817546
XWC,0.0509216470261031
USDT,-0.027899414214632
