,XRP
ETH,0.4719659856111601
XEM,0.3895157603962604
QTUM,0.3861911534456778
BTS,0.3787662543369747
BTC,0.3641016388014148
ETC,0.3558692763415738
SC,0.3235826079256944
DGB,0.3093261541460506
ZEN,0.3082587580962866
LSK,0.3014790445100507
KMD,0.2982239396911079
STEEM,0.2659330717278108
ANT,0.2378174660580284
FIRO,0.2286046019031547
ARK,0.2223168378137178
DCR,0.2136598516054504
MONA,0.2103894193188197
RLC,0.2023301055243715
GNO,0.1980434640282782
SYS,0.1871599803673918
MAID,0.1804133174263301
DOGE,0.1766188590709058
VERI,0.1100480917239927
USDT,0.0595484063181789
CON,0.0582375327439834
XWC,0.0277322780711793
