TIMESTAMP,EBT_OPEN_PRICE_USD,EBT_HIGH_PRICE_USD,EBT_LOW_PRICE_USD,EBT_CLOSE_PRICE_USD,EBT_VOLUME_USD,EBT_DIVIDENDS_USD,EBT_STOCK_SPLITS_USD
2022-04-21 00:00:00+00:00,6.299999949987978e-05,0.0002300000051036477,1.9999999494757503e-05,2.4000000848900527e-05,2125465,0.0,0.0
2022-04-22 00:00:00+00:00,2.4000000848900527e-05,2.4000000848900527e-05,1.2999999853491317e-05,1.4999999621068127e-05,2144424,0.0,0.0
2022-04-23 00:00:00+00:00,1.4999999621068127e-05,1.4999999621068127e-05,1.2999999853491317e-05,1.4000000192027073e-05,68015,0.0,0.0
2022-04-24 00:00:00+00:00,,,,0.0,131856,0.0,0.0
2022-04-25 00:00:00+00:00,0.0,9.000000318337698e-06,0.0,7.000000096013537e-06,1963343,0.0,0.0
2022-04-26 00:00:00+00:00,7.000000096013537e-06,9.000000318337698e-06,9.999999974752427e-07,9.999999974752427e-07,4119696,0.0,0.0
2022-04-27 00:00:00+00:00,9.999999974752427e-07,3.000000106112566e-06,9.999999974752427e-07,9.999999974752427e-07,2759406,0.0,0.0
2022-04-28 00:00:00+00:00,9.999999974752427e-07,3.000000106112566e-06,9.999999974752427e-07,1.9999999949504854e-06,1148534,0.0,0.0
2022-04-29 00:00:00+00:00,1.9999999949504854e-06,3.000000106112566e-06,9.999999974752427e-07,1.9999999949504854e-06,895958,0.0,0.0
2022-04-30 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,1.9999999949504854e-06,532297,0.0,0.0
2022-05-01 00:00:00+00:00,1.9999999949504854e-06,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,388777,0.0,0.0
2022-05-02 00:00:00+00:00,9.999999974752427e-07,1.9999999949504854e-06,9.999999974752427e-07,9.999999974752427e-07,242332,0.0,0.0
2022-05-03 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,149555,0.0,0.0
2022-05-04 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,9.999999974752427e-07,128356,0.0,0.0
2022-05-05 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,67034,0.0,0.0
2022-05-06 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,51680,0.0,0.0
2022-05-07 00:00:00+00:00,,,,0.0,46294,0.0,0.0
2022-05-08 00:00:00+00:00,,,,0.0,28945,0.0,0.0
2022-05-09 00:00:00+00:00,,,,0.0,19073,0.0,0.0
2022-05-10 00:00:00+00:00,,,,0.0,12401,0.0,0.0
2022-05-11 00:00:00+00:00,,,,0.0,13159,0.0,0.0
2022-05-12 00:00:00+00:00,,,,0.0,15880,0.0,0.0
2022-05-13 00:00:00+00:00,,,,0.0,21664,0.0,0.0
2022-05-14 00:00:00+00:00,,,,0.0,24283,0.0,0.0
2022-05-15 00:00:00+00:00,,,,0.0,19864,0.0,0.0
2022-05-16 00:00:00+00:00,0.0,1.9999999949504854e-06,0.0,9.999999974752427e-07,173029,0.0,0.0
2022-05-17 00:00:00+00:00,,,,0.0,250649,0.0,0.0
2022-05-18 00:00:00+00:00,0.0,9.999999974752427e-07,0.0,9.999999974752427e-07,115590,0.0,0.0
2022-05-19 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,62288,0.0,0.0
2022-05-20 00:00:00+00:00,9.999999974752427e-07,9.999999974752427e-07,0.0,9.999999974752427e-07,33853,0.0,0.0
2022-05-21 00:00:00+00:00,,,,0.0,22909,0.0,0.0
2022-05-22 00:00:00+00:00,,,,0.0,14992,0.0,0.0
2022-05-23 00:00:00+00:00,,,,0.0,14685,0.0,0.0
2022-05-24 00:00:00+00:00,,,,0.0,16984,0.0,0.0
2022-05-25 00:00:00+00:00,,,,0.0,16986,0.0,0.0
2022-05-26 00:00:00+00:00,,,,0.0,12989,0.0,0.0
2022-05-27 00:00:00+00:00,,,,0.0,9655,0.0,0.0
2022-05-28 00:00:00+00:00,,,,0.0,10165,0.0,0.0
2022-05-29 00:00:00+00:00,,,,0.0,13365,0.0,0.0
2022-05-30 00:00:00+00:00,,,,0.0,11768,0.0,0.0
2022-05-31 00:00:00+00:00,,,,0.0,9335,0.0,0.0
2022-06-01 00:00:00+00:00,,,,0.0,12706,0.0,0.0
2022-06-02 00:00:00+00:00,,,,0.0,10291,0.0,0.0
2022-06-03 00:00:00+00:00,,,,0.0,5025,0.0,0.0
2022-06-04 00:00:00+00:00,,,,0.0,4036,0.0,0.0
2022-06-05 00:00:00+00:00,,,,0.0,12606,0.0,0.0
2022-06-06 00:00:00+00:00,,,,0.0,28857,0.0,0.0
2022-06-07 00:00:00+00:00,,,,0.0,11261,0.0,0.0
2022-06-08 00:00:00+00:00,,,,0.0,3684,0.0,0.0
2022-06-09 00:00:00+00:00,,,,0.0,3676,0.0,0.0
2022-06-10 00:00:00+00:00,,,,0.0,4018,0.0,0.0
2022-06-11 00:00:00+00:00,,,,0.0,2580,0.0,0.0
2022-06-12 00:00:00+00:00,,,,0.0,3393,0.0,0.0
2022-06-13 00:00:00+00:00,,,,0.0,2556,0.0,0.0
2022-06-14 00:00:00+00:00,,,,0.0,3513,0.0,0.0
2022-06-15 00:00:00+00:00,,,,0.0,5107,0.0,0.0
2022-06-16 00:00:00+00:00,,,,0.0,6354,0.0,0.0
2022-06-17 00:00:00+00:00,,,,0.0,4835,0.0,0.0
2022-06-18 00:00:00+00:00,,,,0.0,3660,0.0,0.0
2022-06-19 00:00:00+00:00,,,,0.0,3931,0.0,0.0
2022-06-20 00:00:00+00:00,,,,0.0,3122,0.0,0.0
2022-06-21 00:00:00+00:00,,,,0.0,9417,0.0,0.0
2022-06-22 00:00:00+00:00,,,,0.0,9894,0.0,0.0
2022-06-23 00:00:00+00:00,,,,0.0,4185,0.0,0.0
2022-06-24 00:00:00+00:00,,,,0.0,5447,0.0,0.0
2022-06-25 00:00:00+00:00,,,,0.0,4273,0.0,0.0
2022-06-26 00:00:00+00:00,,,,0.0,1701,0.0,0.0
2022-06-27 00:00:00+00:00,,,,0.0,1445,0.0,0.0
2022-06-28 00:00:00+00:00,,,,0.0,2320,0.0,0.0
2022-06-29 00:00:00+00:00,,,,0.0,5082,0.0,0.0
2022-06-30 00:00:00+00:00,,,,0.0,4882,0.0,0.0
