TIMESTAMP,MDOGS_OPEN_PRICE_USD,MDOGS_HIGH_PRICE_USD,MDOGS_LOW_PRICE_USD,MDOGS_CLOSE_PRICE_USD,MDOGS_VOLUME_USD,MDOGS_DIVIDENDS_USD,MDOGS_STOCK_SPLITS_USD
2025-01-23 00:00:00+00:00,0.00035200000274926424,0.00035200000274926424,4.8000001697801054e-05,5.199999941396527e-05,9118324,0.0,0.0
2025-01-24 00:00:00+00:00,5.199999941396527e-05,0.00025499999173916876,2.9000000722589903e-05,3.7000001611886546e-05,7641965,0.0,0.0
2025-01-25 00:00:00+00:00,3.7000001611886546e-05,3.7000001611886546e-05,1.5999999959603883e-05,1.700000029813964e-05,5910577,0.0,0.0
2025-01-26 00:00:00+00:00,1.700000029813964e-05,3.099999958067201e-05,9.999999747378752e-06,1.8000000636675395e-05,7614407,0.0,0.0
2025-01-27 00:00:00+00:00,1.8000000636675395e-05,1.9999999494757503e-05,1.2000000424450263e-05,1.2000000424450263e-05,5882079,0.0,0.0
2025-01-28 00:00:00+00:00,1.2000000424450263e-05,1.4999999621068127e-05,1.1000000085914508e-05,1.1000000085914508e-05,4419495,0.0,0.0
2025-01-29 00:00:00+00:00,1.1000000085914508e-05,1.2000000424450263e-05,1.1000000085914508e-05,1.1000000085914508e-05,5220790,0.0,0.0
2025-01-30 00:00:00+00:00,1.1000000085914508e-05,1.2999999853491317e-05,1.1000000085914508e-05,1.2000000424450263e-05,4766900,0.0,0.0
2025-01-31 00:00:00+00:00,1.2000000424450263e-05,1.2999999853491317e-05,7.000000096013537e-06,9.999999747378752e-06,4218626,0.0,0.0
2025-02-01 00:00:00+00:00,9.999999747378752e-06,9.999999747378752e-06,7.000000096013537e-06,7.000000096013537e-06,4616808,0.0,0.0
2025-02-02 00:00:00+00:00,7.000000096013537e-06,7.999999979801942e-06,4.999999873689376e-06,4.999999873689376e-06,4727486,0.0,0.0
2025-02-03 00:00:00+00:00,4.999999873689376e-06,9.999999747378752e-06,3.999999989900971e-06,7.999999979801942e-06,6326621,0.0,0.0
2025-02-04 00:00:00+00:00,7.999999979801942e-06,9.000000318337698e-06,6.000000212225132e-06,6.000000212225132e-06,1697315,0.0,0.0
2025-02-05 00:00:00+00:00,6.000000212225132e-06,7.000000096013537e-06,6.000000212225132e-06,6.000000212225132e-06,1363871,0.0,0.0
2025-02-06 00:00:00+00:00,6.000000212225132e-06,6.000000212225132e-06,4.999999873689376e-06,6.000000212225132e-06,1215849,0.0,0.0
2025-02-07 00:00:00+00:00,6.000000212225132e-06,6.000000212225132e-06,4.999999873689376e-06,4.999999873689376e-06,1271455,0.0,0.0
2025-02-08 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,1281801,0.0,0.0
2025-02-09 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,4.999999873689376e-06,1230220,0.0,0.0
2025-02-10 00:00:00+00:00,4.999999873689376e-06,4.999999873689376e-06,3.000000106112566e-06,3.999999989900971e-06,1120075,0.0,0.0
2025-02-11 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,1688270,0.0,0.0
2025-02-12 00:00:00+00:00,3.999999989900971e-06,4.999999873689376e-06,3.999999989900971e-06,3.999999989900971e-06,1648575,0.0,0.0
2025-02-13 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,1467267,0.0,0.0
2025-02-14 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,1658918,0.0,0.0
2025-02-15 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.999999989900971e-06,2005896,0.0,0.0
2025-02-16 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,3.999999989900971e-06,1648594,0.0,0.0
2025-02-17 00:00:00+00:00,3.999999989900971e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,1356789,0.0,0.0
2025-02-18 00:00:00+00:00,3.000000106112566e-06,3.999999989900971e-06,3.000000106112566e-06,3.000000106112566e-06,1546358,0.0,0.0
2025-02-19 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,3.000000106112566e-06,1595777,0.0,0.0
2025-02-20 00:00:00+00:00,3.000000106112566e-06,3.000000106112566e-06,1.9999999949504854e-06,3.000000106112566e-06,1712408,0.0,0.0
