TIMESTAMP,DOGEMARS36150_OPEN_PRICE_USD,DOGEMARS36150_HIGH_PRICE_USD,DOGEMARS36150_LOW_PRICE_USD,DOGEMARS36150_CLOSE_PRICE_USD,DOGEMARS36150_VOLUME_USD,DOGEMARS36150_DIVIDENDS_USD,DOGEMARS36150_STOCK_SPLITS_USD
2025-04-02 00:00:00+00:00,,,,0.0,5582,0.0,0.0
2025-04-03 00:00:00+00:00,,,,0.0,3034,0.0,0.0
2025-04-04 00:00:00+00:00,,,,0.0,2039,0.0,0.0
2025-04-06 00:00:00+00:00,,,,0.0,452,0.0,0.0
2025-04-07 00:00:00+00:00,,,,0.0,659,0.0,0.0
2025-04-08 00:00:00+00:00,,,,0.0,934,0.0,0.0
2025-04-09 00:00:00+00:00,,,,0.0,1281,0.0,0.0
2025-04-11 00:00:00+00:00,,,,0.0,1530,0.0,0.0
2025-04-12 00:00:00+00:00,,,,0.0,2500,0.0,0.0
2025-04-14 00:00:00+00:00,,,,0.0,521,0.0,0.0
2025-04-16 00:00:00+00:00,,,,0.0,108,0.0,0.0
2025-04-23 00:00:00+00:00,,,,0.0,1329,0.0,0.0
2025-04-26 00:00:00+00:00,,,,0.0,298,0.0,0.0
2025-04-27 00:00:00+00:00,,,,0.0,119,0.0,0.0
2025-04-29 00:00:00+00:00,,,,0.0,1005,0.0,0.0
2025-04-30 00:00:00+00:00,,,,0.0,104,0.0,0.0
2025-05-13 00:00:00+00:00,,,,0.0,57,0.0,0.0
2025-05-21 00:00:00+00:00,,,,0.0,370,0.0,0.0
2025-06-01 00:00:00+00:00,3.2681900263321906e-13,3.2681900263321906e-13,3.2681894842311043e-13,3.2681894842311043e-13,1,0.0,0.0
