TIMESTAMP,AIPEPE26632_OPEN_PRICE_USD,AIPEPE26632_HIGH_PRICE_USD,AIPEPE26632_LOW_PRICE_USD,AIPEPE26632_CLOSE_PRICE_USD,AIPEPE26632_VOLUME_USD,AIPEPE26632_DIVIDENDS_USD,AIPEPE26632_STOCK_SPLITS_USD
2023-06-17 00:00:00+00:00,,,,0.0,263,0.0,0.0
2023-06-18 00:00:00+00:00,,,,0.0,100,0.0,0.0
2023-06-19 00:00:00+00:00,,,,0.0,145,0.0,0.0
2023-06-20 00:00:00+00:00,,,,0.0,176,0.0,0.0
2023-06-21 00:00:00+00:00,,,,0.0,225,0.0,0.0
2023-06-22 00:00:00+00:00,,,,0.0,82,0.0,0.0
2023-06-23 00:00:00+00:00,,,,0.0,312,0.0,0.0
2023-06-24 00:00:00+00:00,,,,0.0,51,0.0,0.0
2023-06-25 00:00:00+00:00,,,,0.0,114,0.0,0.0
2023-06-26 00:00:00+00:00,,,,0.0,610,0.0,0.0
2023-06-27 00:00:00+00:00,,,,0.0,168,0.0,0.0
2023-06-28 00:00:00+00:00,,,,0.0,421,0.0,0.0
2023-06-29 00:00:00+00:00,,,,0.0,257,0.0,0.0
2023-06-30 00:00:00+00:00,,,,0.0,423,0.0,0.0
2023-07-01 00:00:00+00:00,,,,0.0,70,0.0,0.0
2023-07-02 00:00:00+00:00,,,,0.0,261,0.0,0.0
2023-07-03 00:00:00+00:00,,,,0.0,292,0.0,0.0
2023-07-04 00:00:00+00:00,,,,0.0,1441,0.0,0.0
2023-07-05 00:00:00+00:00,,,,0.0,337,0.0,0.0
2023-07-06 00:00:00+00:00,,,,0.0,482,0.0,0.0
2023-07-07 00:00:00+00:00,,,,0.0,30,0.0,0.0
2023-07-08 00:00:00+00:00,,,,0.0,34,0.0,0.0
2023-07-09 00:00:00+00:00,,,,0.0,44,0.0,0.0
2023-07-10 00:00:00+00:00,,,,0.0,130,0.0,0.0
2023-07-11 00:00:00+00:00,,,,0.0,153,0.0,0.0
2023-07-12 00:00:00+00:00,,,,0.0,355,0.0,0.0
2023-07-13 00:00:00+00:00,,,,0.0,128,0.0,0.0
2023-07-14 00:00:00+00:00,,,,0.0,36,0.0,0.0
2023-07-15 00:00:00+00:00,,,,0.0,39,0.0,0.0
2023-07-16 00:00:00+00:00,,,,0.0,11,0.0,0.0
2023-07-17 00:00:00+00:00,,,,0.0,13,0.0,0.0
2023-07-18 00:00:00+00:00,,,,0.0,590,0.0,0.0
2023-07-19 00:00:00+00:00,,,,0.0,19,0.0,0.0
