TIMESTAMP,BAT_CLOSE_PRICE_USD,BAT_OPEN_PRICE_USD,BAT_HIGH_PRICE_USD,BAT_LOW_PRICE_USD
2017-09-01,0.29239,0.27472,0.30041,0.26133
2017-09-02,0.23888,0.29239,0.29239,0.23
2017-09-03,0.23959,0.23888,0.26527,0.22488
2017-09-04,0.20321,0.23959,0.23971,0.17425
2017-09-05,0.22366,0.20321,0.22589,0.17064
2017-09-06,0.22952,0.22366,0.2339,0.21249
2017-09-07,0.24309,0.22952,0.24737,0.21777
2017-09-08,0.21356,0.24309,0.24525,0.19351
2017-09-09,0.21543,0.21356,0.21966,0.20807
2017-09-10,0.20049,0.21543,0.21661,0.19149
2017-09-11,0.21076,0.20049,0.21082,0.19486
2017-09-12,0.20824,0.21076,0.22907,0.2025
2017-09-13,0.19594,0.20824,0.20918,0.18235
2017-09-14,0.15543,0.19594,0.19594,0.15473
2017-09-15,0.18671,0.15543,0.19101,0.13455
2017-09-16,0.22109,0.18671,0.22747,0.17857
2017-09-17,0.2331,0.22109,0.23474,0.21117
2017-09-18,0.24422,0.2331,0.25899,0.22589
2017-09-19,0.21634,0.24422,0.24422,0.21634
2017-09-20,0.22421,0.21634,0.23055,0.20824
2017-09-21,0.2026,0.22421,0.22432,0.18929
2017-09-22,0.19496,0.2026,0.20459,0.18863
2017-09-23,0.20907,0.19496,0.21064,0.19351
2017-09-24,0.20035,0.20907,0.21286,0.2
2017-09-25,0.21588,0.20035,0.2167,0.19808
2017-09-26,0.21269,0.21588,0.21781,0.21104
2017-09-27,0.23483,0.21269,0.23483,0.20691
2017-09-28,0.24609,0.23483,0.25449,0.23425
2017-09-29,0.23348,0.24609,0.24609,0.21921
2017-09-30,0.24978,0.23348,0.254,0.23348
2017-10-01,0.25246,0.24978,0.25717,0.24587
2017-10-02,0.25153,0.25246,0.25897,0.24469
2017-10-03,0.26031,0.25153,0.26724,0.24514
2017-10-04,0.24363,0.26031,0.27264,0.24173
2017-10-05,0.23006,0.24363,0.24509,0.22463
2017-10-06,0.23335,0.23006,0.23897,0.22939
2017-10-07,0.21419,0.23335,0.23335,0.20756
2017-10-08,0.19059,0.21419,0.21738,0.18863
2017-10-09,0.19242,0.19059,0.19853,0.17
2017-10-10,0.19537,0.19242,0.20462,0.18088
2017-10-11,0.19411,0.19537,0.20099,0.19262
2017-10-12,0.19347,0.19411,0.21899,0.17802
2017-10-13,0.17757,0.19347,0.19378,0.16506
2017-10-14,0.17586,0.17757,0.18133,0.16986
2017-10-15,0.1595,0.17586,0.17586,0.15452
2017-10-16,0.17511,0.16014,0.18582,0.14464
2017-10-17,0.16573,0.17531,0.19042,0.16231
2017-10-18,0.16171,0.16542,0.16542,0.15223
2017-10-19,0.15399,0.16171,0.16689,0.15171
2017-10-20,0.15347,0.15399,0.16631,0.15267
2017-10-21,0.14277,0.15347,0.15347,0.13452
2017-10-22,0.14336,0.14277,0.15187,0.13882
2017-10-23,0.14248,0.14336,0.14397,0.13312
2017-10-24,0.15739,0.14248,0.18112,0.14077
