TIMESTAMP,TOOTHLESS_OPEN_PRICE_USD,TOOTHLESS_HIGH_PRICE_USD,TOOTHLESS_LOW_PRICE_USD,TOOTHLESS_CLOSE_PRICE_USD,TOOTHLESS_VOLUME_USD,TOOTHLESS_DIVIDENDS_USD,TOOTHLESS_STOCK_SPLITS_USD
2025-05-01 00:00:00+00:00,,,,0.0,15,0.0,0.0
2025-05-23 00:00:00+00:00,,,,0.0,843,0.0,0.0
2025-06-01 00:00:00+00:00,3.353180092532243e-13,3.353180092532243e-13,3.3404675510093074e-13,3.3404675510093074e-13,4,0.0,0.0
