,K,Alpha,Tau,MSE
0,9,500,0.3,0.0034620574387970757
1,7,250,0.3,0.0034620828542033964
2,10,750,0.3,0.003462109208724943
3,7,250,0.25,0.0034621246566533103
4,7,250,0.2,0.0034621999877186755
5,7,250,0.15,0.0034623611709098017
6,10,500,0.3,0.0034623752613839346
7,10,500,0.25,0.0034625336176994396
8,10,500,0.2,0.003462814249674731
9,7,250,0.1,0.003462836097222688
10,11,500,0.3,0.0034632075940093402
11,10,500,0.15,0.003463382868731921
12,6,250,0.3,0.00346352126702121
13,11,500,0.25,0.003463672157689509
14,11,750,0.3,0.0034637599539480224
15,9,250,0.3,0.0034644544094467565
16,13,500,0.3,0.003464461497781764
17,11,500,0.2,0.0034644957185545255
18,11,750,0.25,0.003464507755499919
19,14,500,0.3,0.0034645365658040154
20,10,250,0.3,0.00346477639464975
21,15,500,0.3,0.003464863674210424
22,8,250,0.3,0.0034650017489491402
23,9,250,0.25,0.0034651833292540218
24,10,500,0.1,0.0034654065250771743
25,15,1000,0.3,0.003465429578456472
26,13,500,0.25,0.003465565032758641
27,14,500,0.25,0.00346567285986277
28,10,250,0.25,0.0034657283125571346
29,11,750,0.2,0.0034658627611336185
30,13,1000,0.3,0.0034660542810079783
31,15,500,0.25,0.0034661484016209336
32,11,500,0.15,0.003466186471487691
33,8,250,0.25,0.003466224447161792
34,9,250,0.2,0.003466278377650067
35,14,1000,0.3,0.0034664489548304456
36,9,500,0.25,0.0034672503477752655
37,10,250,0.2,0.003467335889320173
38,13,500,0.2,0.0034676005785996243
39,14,500,0.2,0.00346776779055728
40,13,1000,0.25,0.0034678157846078986
41,9,250,0.15,0.0034678518350370066
42,8,250,0.2,0.0034684591448750266
43,15,500,0.2,0.0034685076948294635
44,12,500,0.3,0.0034691218742910626
45,9,250,0.1,0.003469839845295334
46,10,250,0.15,0.0034704961940516094
47,11,500,0.1,0.003470992324156232
48,13,1000,0.2,0.0034711908466062637
49,12,250,0.3,0.0034713228933713237
50,13,500,0.15,0.0034719999204472184
51,14,500,0.15,0.0034722973275013677
52,8,250,0.15,0.0034733097258261934
53,15,500,0.15,0.003473579721830788
54,12,250,0.25,0.0034751263802519183
55,13,250,0.3,0.0034774929136759283
56,10,250,0.1,0.0034788558586831817
57,12,250,0.2,0.0034820714695333196
58,11,250,0.3,0.003483846638458796
59,13,500,0.1,0.0034846401519503375
60,13,250,0.25,0.0034848019482774505
61,14,500,0.1,0.0034872346746898215
62,15,500,0.1,0.0034879642750310696
63,8,250,0.1,0.0034885193463664757
64,11,250,0.25,0.003489612585780472
65,12,500,0.1,0.003491716252668041
66,12,250,0.15,0.0034971944166921538
67,11,250,0.2,0.0034986266414747547
68,13,250,0.2,0.00349906769305931
69,13,1000,0.15,0.0034993709591145472
70,12,500,0.25,0.003504308248412168
71,11,1000,0.25,0.00350793005160944
72,10,750,0.25,0.0035122788479390226
73,11,250,0.15,0.003515003355873382
74,13,250,0.15,0.0035334543127871067
75,12,250,0.1,0.003543806402202482
76,10,250,0.05,0.0035553142360927876
77,11,250,0.1,0.0035598753607440914
78,13,500,0.05,0.0035599749297174515
79,14,500,0.05,0.0035638604561450834
80,15,500,0.05,0.0035659313753871854
81,12,500,0.15,0.003595921254147608
82,15,250,0.3,0.003633794069039309
83,13,250,0.1,0.003659549115348964
84,15,250,0.25,0.003671140887204703
85,12,1000,0.3,0.0037074882209718685
86,12,1000,0.25,0.00370767817406652
87,15,1000,0.25,0.003729167526487717
88,15,250,0.2,0.00373087905976437
89,12,500,0.05,0.003743928825781948
90,12,500,0.2,0.0037498793114840033
91,11,500,0.05,0.0037744628486519175
92,14,1000,0.25,0.003830246903225736
93,15,250,0.15,0.0038496045963491905
