TIMESTAMP,XMR_OPEN_PRICE_USD,XMR_HIGH_PRICE_USD,XMR_LOW_PRICE_USD,XMR_CLOSE_PRICE_USD,ETH_OPEN_PRICE_USD,ETH_HIGH_PRICE_USD,ETH_LOW_PRICE_USD,ETH_CLOSE_PRICE_USD,XRP_OPEN_PRICE_USD,XRP_HIGH_PRICE_USD,XRP_LOW_PRICE_USD,XRP_CLOSE_PRICE_USD,ZEC_OPEN_PRICE_USD,ZEC_HIGH_PRICE_USD,ZEC_LOW_PRICE_USD,ZEC_CLOSE_PRICE_USD,XLM_OPEN_PRICE_USD,XLM_HIGH_PRICE_USD,XLM_LOW_PRICE_USD,XLM_CLOSE_PRICE_USD,BTC_OPEN_PRICE_USD,BTC_HIGH_PRICE_USD,BTC_LOW_PRICE_USD,BTC_CLOSE_PRICE_USD
2017-06-01,40.27,44.22,40.12,42.12,218.34,227.32,196.0,211.4,0.2475,0.34,0.2456,0.3364,220.38,254.9,216.0,240.0,0.03322,0.043,0.03242,0.04101,2303.3,2460.8,2303.3,2412.6
2017-06-02,42.12,43.11,41.22,42.59,211.4,219.21,208.23,214.77,0.3364,0.3372,0.2759,0.2959,240.0,247.8,230.0,232.7,0.04101,0.042,0.03653,0.0391,2412.6,2494.0,2385.6,2492.6
2017-06-03,42.59,43.26,41.0,41.0,214.77,217.99,210.01,217.01,0.2959,0.307,0.2711,0.2921,232.7,235.0,216.04,220.0,0.0391,0.0397,0.0351,0.03729,2492.6,2582.8,2449.9,2545.4
2017-06-04,41.0,41.0,41.0,41.0,217.01,245.98,216.1,241.06,0.2921,0.31,0.271,0.2941,220.0,220.0,220.0,220.0,0.03729,0.03729,0.03729,0.03729,2545.4,2559.8,2478.2,2524.1
2017-06-05,42.37,48.06,42.33,47.99,241.06,244.29,231.72,242.16,0.2941,0.2979,0.2869,0.2888,233.88,265.35,230.0,240.32,0.03913,0.04208,0.03875,0.04055,2524.1,2705.4,2523.9,2705.0
2017-06-06,47.99,55.65,45.45,55.6,242.16,264.99,238.23,261.89,0.2888,0.295,0.274,0.284,240.32,264.5,231.97,256.0,0.04055,0.0455,0.03763,0.0446,2705.0,2931.2,2699.7,2870.5
2017-06-07,55.6,63.2,51.27,52.0,261.89,263.7,241.01,250.7,0.284,0.3,0.2717,0.2762,256.0,335.34,254.0,260.43,0.0446,0.0545,0.0437,0.0466,2870.5,2880.9,2626.6,2691.5
2017-06-08,52.0,56.2,49.55,56.2,250.7,258.93,242.04,256.95,0.2762,0.2973,0.27,0.2869,260.43,285.63,251.58,270.61,0.0466,0.05646,0.04475,0.05011,2691.5,2808.4,2623.6,2798.8
2017-06-09,56.2,57.17,54.8,55.37,256.95,279.9,256.95,278.41,0.2869,0.296,0.28,0.2814,270.61,280.5,268.11,280.21,0.05011,0.052,0.04614,0.0474,2798.8,2852.1,2786.1,2811.4
2017-06-10,55.37,56.4,50.9,51.03,278.41,341.94,278.26,325.88,0.2814,0.2848,0.2555,0.2598,280.21,321.0,280.0,316.5,0.0474,0.0479,0.0405,0.04196,2811.4,2914.2,2807.4,2900.3
2017-06-11,51.03,58.3,50.9,58.3,325.88,347.0,310.0,336.33,0.2598,0.28,0.2543,0.2701,316.5,336.9,301.68,326.26,0.04196,0.0471,0.0403,0.04511,2900.3,2977.9,2867.3,2973.4
2017-06-12,58.3,59.51,43.0,49.05,336.33,412.21,297.0,386.9,0.2701,0.282,0.2325,0.2467,326.26,336.0,247.0,300.0,0.04511,0.04752,0.034,0.03843,2973.4,2985.1,2483.6,2656.8
2017-06-13,49.05,52.67,48.46,51.14,386.9,395.0,345.61,382.7,0.2467,0.275,0.2454,0.2626,300.0,370.0,296.81,360.6,0.03843,0.043,0.0373,0.04101,2656.8,2784.8,2647.4,2713.0
2017-06-14,51.14,52.51,42.79,45.0,382.7,385.73,315.0,335.95,0.2626,0.3,0.245,0.2623,360.6,445.2,333.03,369.0,0.04101,0.04353,0.034,0.03814,2713.0,2803.7,2349.0,2467.3
2017-06-15,45.0,46.4,37.0,45.55,335.95,344.0,265.0,338.7,0.2623,0.2642,0.214,0.245,369.0,408.0,246.59,380.0,0.03814,0.03858,0.0293,0.036,2467.3,2521.6,2125.6,2442.5
2017-06-16,45.55,47.52,43.0,47.5,338.7,355.51,305.22,348.44,0.245,0.257,0.2325,0.2506,380.0,397.6,344.84,377.94,0.036,0.03759,0.03347,0.03651,2442.5,2536.4,2335.3,2508.6
2017-06-17,47.5,52.21,46.2,51.83,348.44,366.08,332.0,364.56,0.2506,0.265,0.2357,0.2597,377.94,400.49,350.0,391.0,0.03651,0.04064,0.03495,0.0396,2508.6,2690.7,2454.8,2655.1
2017-06-18,51.83,53.66,47.56,49.72,364.56,377.46,336.89,348.88,0.2597,0.278,0.247,0.2651,391.0,396.0,360.0,370.56,0.0396,0.04004,0.0365,0.0381,2655.1,2676.0,2488.6,2539.6
2017-06-19,49.72,51.37,49.0,50.2,348.88,362.5,344.13,355.5,0.2651,0.282,0.2588,0.281,370.56,405.74,365.0,397.2,0.0381,0.0423,0.03764,0.0413,2539.6,2617.8,2518.8,2616.8
2017-06-20,50.2,53.12,50.2,50.7,355.5,366.52,328.0,344.15,0.281,0.325,0.2742,0.308,397.2,433.7,393.96,407.88,0.0413,0.0446,0.039,0.0405,2616.8,2800.5,2614.0,2754.4
