TIMESTAMP,BIO34329_OPEN_PRICE_USD,BIO34329_HIGH_PRICE_USD,BIO34329_LOW_PRICE_USD,BIO34329_CLOSE_PRICE_USD,BIO34329_VOLUME_USD,BIO34329_DIVIDENDS_USD,BIO34329_STOCK_SPLITS_USD
2024-12-19 00:00:00+00:00,,,,0.0,2016,0.0,0.0
2024-12-20 00:00:00+00:00,,,,0.0,1093,0.0,0.0
2024-12-21 00:00:00+00:00,,,,0.0,1783,0.0,0.0
2024-12-22 00:00:00+00:00,,,,0.0,1876,0.0,0.0
2024-12-23 00:00:00+00:00,,,,0.0,57278,0.0,0.0
2024-12-24 00:00:00+00:00,,,,0.0,14140,0.0,0.0
2024-12-25 00:00:00+00:00,,,,0.0,8601,0.0,0.0
2024-12-26 00:00:00+00:00,,,,0.0,6045,0.0,0.0
2024-12-27 00:00:00+00:00,,,,0.0,3592,0.0,0.0
2024-12-28 00:00:00+00:00,,,,0.0,3586,0.0,0.0
2024-12-29 00:00:00+00:00,,,,0.0,20044,0.0,0.0
2024-12-30 00:00:00+00:00,,,,0.0,8836,0.0,0.0
2024-12-31 00:00:00+00:00,,,,0.0,3649,0.0,0.0
2025-01-01 00:00:00+00:00,,,,0.0,5633,0.0,0.0
2025-01-02 00:00:00+00:00,,,,0.0,7212,0.0,0.0
2025-01-03 00:00:00+00:00,,,,0.0,14996,0.0,0.0
2025-01-04 00:00:00+00:00,,,,0.0,2582,0.0,0.0
2025-01-05 00:00:00+00:00,,,,0.0,3008,0.0,0.0
2025-01-06 00:00:00+00:00,,,,0.0,3017,0.0,0.0
2025-01-07 00:00:00+00:00,,,,0.0,1263,0.0,0.0
2025-01-08 00:00:00+00:00,,,,0.0,600,0.0,0.0
2025-01-09 00:00:00+00:00,,,,0.0,647,0.0,0.0
2025-01-10 00:00:00+00:00,,,,0.0,323,0.0,0.0
2025-01-11 00:00:00+00:00,,,,0.0,1061,0.0,0.0
2025-01-12 00:00:00+00:00,,,,0.0,681,0.0,0.0
2025-01-13 00:00:00+00:00,,,,0.0,2977,0.0,0.0
2025-01-14 00:00:00+00:00,,,,0.0,2073,0.0,0.0
2025-01-15 00:00:00+00:00,,,,0.0,995,0.0,0.0
2025-01-16 00:00:00+00:00,,,,0.0,454,0.0,0.0
2025-01-17 00:00:00+00:00,,,,0.0,834,0.0,0.0
2025-01-18 00:00:00+00:00,,,,0.0,1421,0.0,0.0
2025-01-19 00:00:00+00:00,,,,0.0,1081,0.0,0.0
2025-01-20 00:00:00+00:00,,,,0.0,528,0.0,0.0
2025-01-21 00:00:00+00:00,,,,0.0,1929,0.0,0.0
2025-01-22 00:00:00+00:00,,,,0.0,7458,0.0,0.0
2025-01-23 00:00:00+00:00,,,,0.0,4015,0.0,0.0
2025-01-24 00:00:00+00:00,,,,0.0,1204,0.0,0.0
2025-01-25 00:00:00+00:00,,,,0.0,515,0.0,0.0
2025-01-26 00:00:00+00:00,,,,0.0,871,0.0,0.0
2025-01-27 00:00:00+00:00,,,,0.0,743,0.0,0.0
2025-01-28 00:00:00+00:00,,,,0.0,597,0.0,0.0
2025-01-29 00:00:00+00:00,,,,0.0,633,0.0,0.0
2025-01-30 00:00:00+00:00,,,,0.0,1190,0.0,0.0
2025-01-31 00:00:00+00:00,,,,0.0,350,0.0,0.0
2025-02-01 00:00:00+00:00,,,,0.0,115,0.0,0.0
2025-02-02 00:00:00+00:00,,,,0.0,189,0.0,0.0
2025-02-03 00:00:00+00:00,,,,0.0,53,0.0,0.0
2025-02-04 00:00:00+00:00,,,,0.0,141,0.0,0.0
2025-02-05 00:00:00+00:00,,,,0.0,329,0.0,0.0
2025-02-06 00:00:00+00:00,,,,0.0,75,0.0,0.0
2025-02-07 00:00:00+00:00,,,,0.0,94,0.0,0.0
2025-02-08 00:00:00+00:00,,,,0.0,69,0.0,0.0
2025-02-09 00:00:00+00:00,,,,0.0,74,0.0,0.0
2025-02-10 00:00:00+00:00,,,,0.0,36,0.0,0.0
2025-02-11 00:00:00+00:00,,,,0.0,137,0.0,0.0
2025-02-12 00:00:00+00:00,,,,0.0,2766,0.0,0.0
2025-02-13 00:00:00+00:00,,,,0.0,143,0.0,0.0
2025-02-14 00:00:00+00:00,,,,0.0,5,0.0,0.0
2025-02-15 00:00:00+00:00,,,,0.0,5,0.0,0.0
2025-02-16 00:00:00+00:00,,,,0.0,13,0.0,0.0
2025-02-18 00:00:00+00:00,,,,0.0,10,0.0,0.0
2025-02-19 00:00:00+00:00,,,,0.0,97,0.0,0.0
2025-02-20 00:00:00+00:00,,,,0.0,15,0.0,0.0
2025-02-22 00:00:00+00:00,,,,0.0,31,0.0,0.0
2025-02-23 00:00:00+00:00,,,,0.0,12,0.0,0.0
2025-02-24 00:00:00+00:00,,,,0.0,104,0.0,0.0
2025-02-25 00:00:00+00:00,,,,0.0,14,0.0,0.0
2025-02-26 00:00:00+00:00,,,,0.0,223,0.0,0.0
2025-02-27 00:00:00+00:00,,,,0.0,235,0.0,0.0
2025-02-28 00:00:00+00:00,,,,0.0,29,0.0,0.0
2025-03-01 00:00:00+00:00,,,,0.0,26,0.0,0.0
2025-03-02 00:00:00+00:00,,,,0.0,2,0.0,0.0
2025-03-03 00:00:00+00:00,,,,0.0,42,0.0,0.0
2025-03-04 00:00:00+00:00,,,,0.0,363,0.0,0.0
2025-06-01 00:00:00+00:00,1.2390999684641635e-13,1.2390999684641635e-13,1.224499966484202e-13,1.2245019993632755e-13,1,0.0,0.0
