TIMESTAMP,BTC_OPEN_PRICE_USD,BTC_HIGH_PRICE_USD,BTC_LOW_PRICE_USD,BTC_CLOSE_PRICE_USD,BTC_FIRST_TRADE_PRICE_USD,BTC_HIGH_TRADE_PRICE_USD,BTC_LOW_TRADE_PRICE_USD,BTC_LAST_TRADE_PRICE_USD,BTC_TOTAL_TRADE_COUNT,BTC_TOTAL_TRADES_BUY,BTC_TOTAL_TRADES_SELL,BTC_VOLUME_BTC,BTC_VOLUME_USD,BTC_BUY_VOLUME_BTC,BTC_BUY_VOLUME_USD,BTC_SELL_VOLUME_BTC,BTC_SELL_VOLUME_USD
2017-08-17 04:00:00,4261.48,4349.99,4261.32,4349.99,4261.48,4349.99,4261.32,4349.99,334,268,66,82.088865,353194.33293028,64.013727,275647.42191079,18.075138,77546.91101949
2017-08-17 08:00:00,4349.99,4485.39,4333.32,4352.34,4333.32,4485.39,4333.32,4352.34,1106,696,410,238.181883,1056739.95606691,183.971766,816473.80921505,54.210117,240266.14685186
2017-08-17 16:00:00,4352.34,4369.69,4200.74,4285.08,4352.34,4369.69,4200.74,4285.08,1987,1408,579,474.879629,2044835.76173487,368.263048,1586095.16947817,106.616581,458740.5922567
2017-08-18 00:00:00,4285.08,4340.62,4134.61,4300.25,4285.08,4340.62,4134.61,4300.25,2171,1555,616,524.582072,2239760.30055707,418.302269,1787986.80576046,106.279803,451773.49479661
2017-08-18 08:00:00,4300.25,4371.52,4193.7,4236.89,4285.0,4371.52,4193.7,4236.89,1577,1263,314,372.109513,1595054.39180141,314.184044,1346445.41513478,57.925469,248608.97666663
2017-08-18 16:00:00,4236.89,4297.75,3938.77,4108.37,4234.54,4297.75,3938.77,4108.37,1485,1249,236,303.196679,1252143.61381303,240.382397,994691.09562284,62.814282,257452.51819019
2017-08-19 00:00:00,4108.37,4184.69,3933.21,4033.47,4108.37,4184.69,3933.21,4033.47,1078,803,275,221.262527,906566.17644095,169.078201,693622.15277837,52.184326,212944.02366258
2017-08-19 08:00:00,4033.47,4100.0,3850.0,3972.05,4033.47,4100.0,3850.0,3972.05,801,559,242,124.77162,500140.30490616,78.034343,314076.39214286,46.737277,186063.9127633
2017-08-19 16:00:00,3972.05,4149.99,3953.4,4139.98,4036.19,4149.99,3953.4,4139.98,274,222,52,35.275616,142777.2540744,27.223498,110303.32516612,8.052118,32473.92890828
2017-08-20 00:00:00,4139.98,4156.56,4044.0,4155.87,4120.98,4156.56,4044.0,4155.87,354,249,105,35.215193,144629.49866384,25.906472,106427.17330761,9.308721,38202.32535623
