TIMESTAMP,KOIN30422_OPEN_PRICE_USD,KOIN30422_HIGH_PRICE_USD,KOIN30422_LOW_PRICE_USD,KOIN30422_CLOSE_PRICE_USD,KOIN30422_VOLUME_USD,KOIN30422_DIVIDENDS_USD,KOIN30422_STOCK_SPLITS_USD
2024-04-05 00:00:00+00:00,,,,0.0,49326,0.0,0.0
2024-04-06 00:00:00+00:00,,,,0.0,28685,0.0,0.0
2024-04-07 00:00:00+00:00,,,,0.0,30634,0.0,0.0
2024-04-08 00:00:00+00:00,,,,0.0,10323,0.0,0.0
2024-04-09 00:00:00+00:00,,,,0.0,44524,0.0,0.0
2024-04-10 00:00:00+00:00,,,,0.0,20169,0.0,0.0
2024-04-11 00:00:00+00:00,,,,0.0,103449,0.0,0.0
2024-04-12 00:00:00+00:00,,,,0.0,76637,0.0,0.0
2024-04-13 00:00:00+00:00,,,,0.0,182867,0.0,0.0
2024-04-14 00:00:00+00:00,,,,0.0,142074,0.0,0.0
2024-04-15 00:00:00+00:00,,,,0.0,75685,0.0,0.0
2024-04-16 00:00:00+00:00,,,,0.0,98453,0.0,0.0
2024-04-17 00:00:00+00:00,,,,0.0,53987,0.0,0.0
2024-04-18 00:00:00+00:00,,,,0.0,274916,0.0,0.0
2024-04-19 00:00:00+00:00,,,,0.0,95390,0.0,0.0
2024-04-20 00:00:00+00:00,,,,0.0,33703,0.0,0.0
2024-04-21 00:00:00+00:00,,,,0.0,24366,0.0,0.0
2024-04-22 00:00:00+00:00,,,,0.0,63840,0.0,0.0
2024-04-23 00:00:00+00:00,,,,0.0,54715,0.0,0.0
2024-04-24 00:00:00+00:00,,,,0.0,29312,0.0,0.0
2024-04-25 00:00:00+00:00,,,,0.0,51526,0.0,0.0
2024-04-26 00:00:00+00:00,,,,0.0,30061,0.0,0.0
2024-04-27 00:00:00+00:00,,,,0.0,14490,0.0,0.0
2024-04-28 00:00:00+00:00,,,,0.0,22866,0.0,0.0
2024-04-29 00:00:00+00:00,,,,0.0,30616,0.0,0.0
2024-04-30 00:00:00+00:00,,,,0.0,5033,0.0,0.0
2024-05-01 00:00:00+00:00,,,,0.0,58524,0.0,0.0
2024-05-02 00:00:00+00:00,,,,0.0,25173,0.0,0.0
2024-05-03 00:00:00+00:00,,,,0.0,41972,0.0,0.0
2024-05-04 00:00:00+00:00,,,,0.0,23593,0.0,0.0
2024-05-05 00:00:00+00:00,,,,0.0,31945,0.0,0.0
2024-05-06 00:00:00+00:00,,,,0.0,69513,0.0,0.0
2024-05-07 00:00:00+00:00,,,,0.0,26362,0.0,0.0
2024-05-08 00:00:00+00:00,,,,0.0,24100,0.0,0.0
2024-05-09 00:00:00+00:00,,,,0.0,24065,0.0,0.0
2024-05-10 00:00:00+00:00,,,,0.0,13459,0.0,0.0
2024-05-11 00:00:00+00:00,,,,0.0,35370,0.0,0.0
2024-05-12 00:00:00+00:00,,,,0.0,1600,0.0,0.0
2024-05-13 00:00:00+00:00,,,,0.0,22263,0.0,0.0
2024-05-14 00:00:00+00:00,,,,0.0,12634,0.0,0.0
2024-05-15 00:00:00+00:00,,,,0.0,24346,0.0,0.0
2024-05-16 00:00:00+00:00,,,,0.0,21420,0.0,0.0
2024-05-17 00:00:00+00:00,,,,0.0,10916,0.0,0.0
2024-05-18 00:00:00+00:00,,,,0.0,8397,0.0,0.0
2024-05-19 00:00:00+00:00,,,,0.0,19723,0.0,0.0
2024-05-20 00:00:00+00:00,,,,0.0,2443,0.0,0.0
2024-05-21 00:00:00+00:00,,,,0.0,20308,0.0,0.0
2024-05-22 00:00:00+00:00,,,,0.0,15127,0.0,0.0
2024-05-23 00:00:00+00:00,,,,0.0,10888,0.0,0.0
2024-05-24 00:00:00+00:00,,,,0.0,23489,0.0,0.0
2024-05-25 00:00:00+00:00,,,,0.0,2654,0.0,0.0
2024-05-26 00:00:00+00:00,,,,0.0,13481,0.0,0.0
2024-05-27 00:00:00+00:00,,,,0.0,15566,0.0,0.0
2024-05-28 00:00:00+00:00,,,,0.0,26540,0.0,0.0
2024-05-29 00:00:00+00:00,,,,0.0,918,0.0,0.0
2024-05-30 00:00:00+00:00,,,,0.0,14856,0.0,0.0
2024-05-31 00:00:00+00:00,,,,0.0,1514,0.0,0.0
2024-06-01 00:00:00+00:00,,,,0.0,15533,0.0,0.0
2024-06-02 00:00:00+00:00,,,,0.0,13572,0.0,0.0
