,\textbf{O.C.},\textbf{Mean},\textbf{S.D.},\textbf{Min.},\textbf{5\%},\textbf{25\%},\textbf{Median},\textbf{75\%},\textbf{95\%},\textbf{Max.}
\emph{ETH}/\emph{USDT} OP,2771,1419.18,1223.53,83.75,136.76,264.73,1232.50,2319.05,3679.95,4807.98
\emph{ETH}/\emph{USDT} HP,2771,1461.23,1256.70,85.00,140.53,274.32,1276.70,2387.39,3814.35,4868.00
\emph{ETH}/\emph{USDT} LP,2771,1372.21,1185.96,81.79,132.46,251.28,1193.18,2242.05,3541.84,4713.89
\emph{ETH}/\emph{USDT} CP,2771,1420.30,1223.87,83.76,136.76,264.82,1232.62,2321.49,3679.95,4807.98
