Lag,BTC,LTC,XMR,XRP,ANT,ARK,BAT,BTS,DASH,DCR,DGB,DOGE,ETC,FIRO,GAS,GNO,KMD,LSK,LUNC,MIOTA,PIVX,QTUM,RLC,SC,STEEM,SYS,WAVES,XEM,XLM,ZEC,ZEN
1,0.19313425219980052,0.21600904996972212,0.0938362056930301,0.13129043614646982,0.4238877659938416,0.3892259632909887,0.2119127718505637,0.4356131422623102,0.2683877717507854,0.9102119085821612,0.5569650077811348,0.03525121940874172,0.043327052402954855,0.8756066721756732,0.12258475015661303,0.057253918184782954,0.1243118604076607,0.16049482310230762,0.16539272901771568,0.5250899798055133,0.34006036017981867,0.16644724513868445,0.5118108190756356,0.34613698248835456,0.5187699714533669,0.9990278798494502,0.4075632272843398,0.0004093673780303309,0.16742062908017147,0.37397321930720695,0.27640447412345337
2,0.3926649615646028,0.5334009456160206,0.2521366622219809,0.09139649447953721,0.4252799966630627,0.7116915646374257,0.3136800799867144,0.7344968934808644,0.30944664048213727,0.8682704079113416,0.33740810619865097,0.08563283383547209,0.11540028457071537,0.9747359451709718,0.2587666426379818,0.1360911628649382,0.12280989586608669,0.14230472867642235,0.26752684139403315,0.8247315091540859,0.4754935078604967,0.31083854207447975,0.7248423082197791,0.1972481086284687,0.8337948556317704,0.7470870583798035,0.4080052828879531,0.003064570745562914,0.3410662751579841,0.3609873245256051,0.3750685370853156
3,0.4219628025568093,0.7333717541468481,0.33122241991133283,0.21890619113341003,0.518729621053901,0.7248998711569128,0.4833256839189679,0.08524710600034925,0.4796494007304981,0.5054666831480232,0.4741231083724736,0.10234054841551186,0.13154152738027852,0.16232638699640284,0.24383680735174162,0.042390717207804164,0.11206311244554204,0.15907974170375527,0.06710382818523825,0.8130527795194725,0.4298558190123115,0.5084270843702847,0.4696379640645425,0.2647807758780641,0.9170926738092207,0.8743998176894675,0.5432974703345399,0.010278549665711668,0.5405700266490963,0.3550651831597309,0.5396448435211603
4,0.5764154706748129,0.8492399634989681,0.005443161564077062,0.21099123525927446,0.6341017896257941,0.49863021404578534,0.4381264584352179,0.07485757126259343,0.41495906093349966,0.6812283293318852,0.2301027680317656,0.05380064943336267,0.011800167482423114,0.031179434942265587,0.3571140389553913,0.061200480471965135,0.15544514884956273,0.01575930612815446,0.039315078228014576,0.814509132332291,0.451023075504962,0.42913867895471747,0.37510087877165954,0.012717662939996823,0.9678369740450052,0.8674227334893615,0.24848184009110616,0.02062664533291652,0.6619331692694708,0.3809377413017938,0.3853816054573213
5,0.042503648469849664,0.9257354563746487,0.014500654082114425,0.31617915989305895,0.6828418954475518,0.41539142783044425,0.6070774325098515,0.11349684680986029,0.49859710528051915,0.6966879550513188,0.3960566392678968,0.00278114343878615,0.02272844316742609,0.02731243085116366,0.15524088243885736,0.007312157205528772,0.16347013808356356,0.03432312185139684,0.14001169618673762,0.819085376001938,0.5425886853889609,0.5503505120352623,0.4639771811147122,0.029249790992445585,0.9412085417297239,0.9030407857166844,0.36800058270455105,0.020649728779957046,0.7666291888253205,0.518076654834106,0.23636740066256628
6,0.01615626695252964,0.6023891717398591,0.006464814712548225,0.35049781365013866,0.8394679649284541,0.46660866828233605,0.49161339155825823,0.12620296807427925,0.40824802891358325,0.8158346731325568,0.43107844022793784,0.004136864303635878,0.03234670794363884,0.01979852150138443,0.20564601268351262,0.0070080580181303195,0.15533173987278326,0.06812537234099829,0.20548095690160764,0.7714198851236449,0.7974548629372746,0.5644301616097578,0.4860755920277352,0.03161030683617745,0.8951697596195274,0.90272243740049,0.29866779177080494,0.02214155993962259,0.7605216528991781,0.6418001960689277,0.18476568245302374
7,0.02234347753507592,0.7133224743321346,0.009949023301209859,0.41964070181719837,0.9103510674068251,0.4185614727740954,0.4833399751809575,0.1291971285897899,0.49721852169995884,0.8843440030267289,0.35827018166730595,0.008488893486641419,0.050134829630037826,0.014136683147779093,0.06884720216190125,0.00909406690106842,0.16960165390715282,0.10057705844416406,0.4797768361827598,0.7793039083755141,0.29662263032475655,0.5072663576109908,0.6078737324796063,0.04733378633737866,0.9353839892270638,0.9152580858401276,0.28040735942423833,0.018583714548934663,0.8385802493556442,0.7392112339761079,0.12813354067795066
8,0.02078481128169192,0.6385260480315467,0.005137641039062638,0.2527079833861268,0.913186961414683,0.4401601030896958,0.29932029124898357,0.10953372076939365,0.5269452066968398,0.9260024732137142,0.3985626691194237,0.015877376276642666,0.03526343119765785,0.0072701006680594826,0.11313126478206155,0.009694716348718331,0.22819252790223105,0.1389949332040964,0.5775962486016322,0.8562641112847644,0.4133267758956955,0.5483173184396841,0.5357948085810489,0.055098909148757064,0.9626687737499593,0.7432352186083819,0.2885867692837787,0.026258031187603153,0.9165274283927551,0.815272984683036,0.13764821673130598
9,0.024824003877151793,0.29707921974679147,0.0044812545802265,0.00019527036931889517,0.8362864580117739,0.46075293538777773,0.011394038925613793,0.15830565073833947,0.3658298154516094,0.7334222971204323,0.13572319912470943,0.024951326592137155,0.037096414310841014,0.003866530231740219,0.16201050653831411,0.013641173743412354,0.32277348290537533,0.22810899143169336,0.6430761139229173,0.7356939434887236,0.5106479345968329,0.4509916001597102,0.3995465218725008,0.036634008275745575,0.9429936142733893,0.8340035224564598,0.3894114117455921,0.02251452350553594,0.47592757663600005,0.6782611272222231,0.15864886748479382
10,0.022929108173840196,0.06770862542488097,0.00484366563416032,0.0006575598580659184,0.3325963108513399,0.24296640745623124,0.011429574189000594,0.18376825936223173,0.34577308856221867,0.6130519961864163,0.09068717301744848,0.051000966633887646,0.04180862188326057,0.006609303591284059,0.20899733398140377,0.01847864740880066,0.2982889308713589,0.1388295900555645,0.8199430055518826,0.48124550293093293,0.4319034090284574,0.523589670992605,0.43685399322103374,0.026037825346854126,0.9418530505062512,0.8707402651705954,0.37917537627677966,0.020589602756568386,0.38532421872450995,0.7265112052365772,0.19870369857562503
