TIMESTAMP,TUSD_OPEN_PRICE_USD,TUSD_HIGH_PRICE_USD,TUSD_LOW_PRICE_USD,TUSD_CLOSE_PRICE_USD
2018-12-06,1.01,1.02,0.997,1.0
2018-12-07,1.0,1.03,0.997,1.0
2018-12-08,1.0,1.03,0.998,1.0
2018-12-09,1.0,1.03,0.998,1.01
2018-12-10,1.01,1.03,0.998,1.02
2018-12-11,1.02,1.02,0.998,1.02
2018-12-12,1.02,1.03,1.01,1.01
2018-12-13,1.02,1.02,0.998,1.01
2018-12-14,1.01,1.02,0.998,1.01
2018-12-15,1.01,1.02,1.01,1.02
2018-12-16,1.02,1.03,1.01,1.02
2018-12-17,1.02,1.04,0.998,0.999
2018-12-18,0.999,1.02,0.998,1.02
2018-12-19,1.02,1.02,0.998,1.01
2018-12-20,1.01,1.02,0.998,0.999
2018-12-21,0.999,1.03,0.998,1.0
2018-12-22,1.0,1.03,0.999,1.02
2018-12-23,1.02,1.03,0.999,1.02
2018-12-24,1.02,1.03,0.9997,1.01
2018-12-25,1.01,1.03,0.999,1.02
2018-12-26,1.02,1.03,0.999,1.02
2018-12-27,1.02,1.03,1.0,1.02
2018-12-28,1.02,1.04,0.998,1.02
2018-12-29,1.02,1.03,0.999,1.02
2018-12-30,1.02,1.03,0.998,0.999
2018-12-31,0.999,1.02,0.999,1.02
2019-01-01,1.02,1.03,0.997,1.02
2019-01-02,1.02,1.04,1.01,1.02
2019-01-03,1.02,1.02,0.9979,1.01
2019-01-04,1.01,1.02,1.01,1.01
2019-01-05,1.01,1.02,0.998,0.998
2019-01-06,0.998,1.03,0.997,1.02
2019-01-07,1.02,1.02,0.996,1.01
2019-01-08,1.01,1.02,0.999,1.01
2019-01-09,1.01,1.02,1.0,1.01
2019-01-10,1.01,1.03,1.0,1.01
2019-01-11,1.01,1.02,1.0,1.01
2019-01-12,1.01,1.02,1.01,1.01
2019-01-13,1.01,1.03,1.0,1.01
2019-01-14,1.01,1.02,1.0,1.01
2019-01-15,1.01,1.02,0.998,1.01
2019-01-16,1.01,1.03,0.9997,1.01
2019-01-17,1.01,1.02,0.999,1.01
2019-01-18,1.01,1.01,0.999,1.0
2019-01-19,1.0,1.03,0.999,1.01
2019-01-20,1.01,1.02,0.9427,1.0
2019-01-21,1.0,1.02,0.999,1.01
2019-01-22,1.01,1.02,0.9982,1.01
2019-01-23,1.01,1.01,1.01,1.01
2019-01-24,1.01,1.01,1.0,1.01
2019-01-25,1.01,1.02,1.0,1.01
2019-01-26,1.01,1.01,0.999,0.999
2019-01-27,0.999,1.01,0.999,1.01
2019-01-28,1.01,1.02,1.0,1.01
2019-01-29,1.01,1.01,0.999,1.01
2019-01-30,1.01,1.03,1.0,1.01
2019-01-31,1.01,1.02,1.01,1.01
2019-02-01,1.01,1.02,0.9992,1.01
2019-02-02,1.01,1.02,1.0,1.01
2019-02-03,1.01,1.02,1.01,1.01
2019-02-04,1.01,1.02,0.999,1.01
2019-02-05,1.01,1.01,0.998,1.0
2019-02-06,1.0,1.01,0.9967,1.01
2019-02-07,1.01,1.01,1.0,1.0
2019-02-08,1.0,1.04,0.9972,0.999
2019-02-09,0.999,1.03,0.999,1.02
2019-02-10,1.02,1.02,1.01,1.02
2019-02-11,1.02,1.03,0.999,1.01
2019-02-12,1.01,1.02,1.0,1.0
2019-02-13,1.0,1.02,1.0,1.01
2019-02-14,1.01,1.02,0.998,1.01
2019-02-15,1.01,1.02,1.01,1.01
2019-02-16,1.01,1.02,0.998,1.01
2019-02-17,1.01,1.02,0.999,0.999
2019-02-18,0.999,1.02,0.998,1.01
2019-02-19,1.01,1.01,0.998,1.01
2019-02-20,1.01,1.02,0.998,1.01
2019-02-21,1.01,1.02,0.998,1.01
2019-02-22,1.01,1.02,0.998,1.02
2019-02-23,1.02,1.05,1.01,1.01
2019-02-24,1.01,1.02,0.998,0.999
2019-02-25,0.999,1.02,0.999,1.01
2019-02-26,1.01,1.01,0.998,1.01
2019-02-27,1.01,1.02,0.9837,1.02
2019-02-28,1.02,1.03,1.01,1.01
2019-03-01,1.01,1.02,1.0,1.01
2019-03-02,1.01,1.02,1.0,1.0
2019-03-03,1.0,1.02,0.999,1.01
2019-03-04,1.01,1.02,0.999,1.01
2019-03-05,1.01,1.02,1.0,1.0
2019-03-06,1.0,1.01,1.0,1.0
2019-03-07,1.0,1.02,0.999,0.999
2019-03-08,0.999,1.02,0.998,1.0
2019-03-09,1.0,1.02,1.0,1.01
2019-03-10,1.01,1.02,0.999,1.01
2019-03-11,1.01,1.02,0.998,1.01
2019-03-12,1.01,1.02,0.998,1.01
2019-03-13,1.01,1.01,1.0,1.01
2019-03-14,1.01,1.04,1.0,1.01
2019-03-15,1.01,1.03,1.0,1.01
2019-03-16,1.01,1.06,1.0,1.01
2019-03-17,1.01,1.05,1.0,1.01
2019-03-18,1.01,1.02,0.9272,1.01
2019-03-19,1.01,1.01,0.9993,1.0
2019-03-20,1.0,1.04,0.928,1.01
2019-03-21,1.01,1.05,0.9339,1.01
2019-03-22,1.01,1.02,1.0,1.01
2019-03-23,1.0,1.01,1.0,1.01
2019-03-24,1.01,1.01,1.0,1.01
2019-03-25,1.01,1.01,1.0,1.01
2019-03-26,1.01,1.01,1.0,1.01
2019-03-27,1.01,1.02,0.9907,1.01
2019-03-28,1.0,1.01,1.0,1.01
2019-03-29,1.01,1.01,1.0,1.0
2019-03-30,1.0,1.02,1.0,1.01
2019-03-31,1.01,1.01,1.0,1.01
2019-04-01,1.01,1.02,1.0,1.01
2019-04-02,1.01,1.03,0.9901,1.0
2019-04-03,1.0,1.02,0.9901,1.0
2019-04-04,1.0,1.01,0.9901,1.0
2019-04-05,1.0,1.01,0.9937,1.0
2019-04-06,1.0,1.02,0.9938,1.0
2019-04-07,1.0,1.02,0.988,1.01
2019-04-08,1.01,1.01,0.9901,0.999
2019-04-09,0.999,1.01,0.9901,1.0
2019-04-10,1.0,1.01,0.9729,1.0
2019-04-11,1.0,1.01,0.9847,0.9999
2019-04-12,1.0,1.01,0.9951,1.0
2019-04-13,1.0,1.01,0.9979,1.0
2019-04-14,1.0,1.01,0.9992,1.0
2019-04-15,1.0,1.01,0.9905,1.0
2019-04-16,1.0,1.01,0.9901,1.0
2019-04-17,1.0,1.01,0.9901,1.0
2019-04-18,1.0,1.01,0.9957,1.0
2019-04-19,1.0,1.01,0.9901,1.0
2019-04-20,1.0,1.01,0.9901,1.0
2019-04-21,1.0,1.01,0.9922,0.9933
2019-04-22,0.9931,1.01,0.9931,1.0
