TIMESTAMP,MARI_CLOSE_PRICE_USD,MARI_OPEN_PRICE_USD,MARI_HIGH_PRICE_USD,MARI_LOW_PRICE_USD
2018-03-01,0.07308,0.089306,0.095878,0.071934
2018-03-02,0.073073,0.073168,0.075749,0.071321
2018-03-03,0.073603,0.073035,0.076512,0.072129
2018-03-04,0.075086,0.073553,0.075312,0.071755
2018-03-05,0.082022,0.075104,0.086051,0.07452
2018-03-06,0.073092,0.08117,0.08117,0.071283
2018-03-07,0.066364,0.073022,0.074215,0.06378
2018-03-08,0.062058,0.066462,0.070556,0.06168
2018-03-09,0.065692,0.062076,0.06648,0.05549
2018-03-10,0.057507,0.065668,0.067301,0.05733
2018-03-11,0.060759,0.057542,0.062743,0.054088
2018-03-12,0.05892,0.060875,0.064043,0.057262
2018-03-13,0.055495,0.058942,0.060019,0.055042
2018-03-14,0.053137,0.055525,0.057591,0.051383
2018-03-15,0.052402,0.05298,0.054164,0.049689
2018-03-16,0.056219,0.052458,0.059918,0.050703
2018-03-17,0.052008,0.055899,0.056864,0.05119
2018-03-18,0.057042,0.051869,0.057443,0.045165
2018-03-19,0.060157,0.057056,0.060412,0.05634
2018-03-20,0.064515,0.060074,0.065563,0.059664
2018-03-21,0.062839,0.064643,0.066499,0.060613
2018-03-22,0.060495,0.062834,0.064147,0.059078
2018-03-23,0.061165,0.060304,0.061165,0.056879
2018-03-24,0.058416,0.061219,0.061897,0.058416
2018-03-25,0.059039,0.05861,0.060463,0.057026
2018-03-26,0.056792,0.059059,0.059406,0.053302
2018-03-27,0.047334,0.056909,0.057686,0.046573
2018-03-28,0.04998,0.047282,0.050916,0.046548
2018-03-29,0.04549,0.05004,0.050219,0.044292
2018-03-30,0.043225,0.045571,0.046669,0.041774
2018-03-31,0.044621,0.043163,0.04595,0.042762
2018-04-01,0.044709,0.044702,0.04548,0.041399
2018-04-02,0.043746,0.044742,0.046076,0.042778
2018-04-03,0.047178,0.043762,0.048136,0.042851
2018-04-04,0.041706,0.047161,0.047245,0.041315
2018-04-05,0.040512,0.041658,0.042064,0.039674
2018-04-06,0.039165,0.040504,0.040894,0.038724
2018-04-07,0.03623,0.039209,0.041032,0.03517
2018-04-08,0.037809,0.036256,0.038073,0.035929
2018-04-09,0.036425,0.037859,0.038594,0.035511
2018-04-10,0.038235,0.036457,0.038235,0.034336
2018-04-11,0.040678,0.03823,0.056208,0.035954
2018-04-12,0.054479,0.040694,0.057934,0.039359
2018-04-13,0.04636,0.054495,0.055529,0.046066
2018-04-14,0.048,0.046418,0.04885,0.046073
2018-04-15,0.050142,0.048019,0.050657,0.048019
2018-04-16,0.049928,0.050121,0.051263,0.047566
2018-04-17,0.050268,0.049907,0.052122,0.04841
2018-04-18,0.051704,0.050292,0.05261,0.050205
2018-04-19,0.052682,0.051819,0.052682,0.051415
2018-04-20,0.056481,0.052582,0.056974,0.052476
2018-04-21,0.055045,0.056536,0.057111,0.054408
2018-04-22,0.053281,0.05508,0.055913,0.053085
2018-04-23,0.053102,0.053319,0.055645,0.052488
2018-04-24,0.058049,0.053112,0.058574,0.05279
2018-04-25,0.053386,0.058173,0.058628,0.051743
2018-04-26,0.049457,0.05323,0.053806,0.046193
2018-04-27,0.047906,0.049471,0.04969,0.04777
2018-04-28,0.049102,0.047855,0.050755,0.0476
2018-04-29,0.047847,0.049038,0.050191,0.047041
2018-04-30,0.047067,0.047892,0.048053,0.046306
2018-05-01,0.046374,0.047071,0.047761,0.043484
2018-05-02,0.056933,0.046403,0.05724,0.044892
2018-05-03,0.050781,0.057044,0.057378,0.050152
2018-05-04,0.053483,0.050727,0.054742,0.049761
2018-05-05,0.054424,0.053318,0.057022,0.052069
2018-05-06,0.053816,0.054531,0.056136,0.051571
2018-05-07,0.050698,0.053816,0.053895,0.049908
2018-05-08,0.048249,0.050603,0.051184,5e-06
