TIMESTAMP,MUSKAI_OPEN_PRICE_USD,MUSKAI_HIGH_PRICE_USD,MUSKAI_LOW_PRICE_USD,MUSKAI_CLOSE_PRICE_USD,MUSKAI_VOLUME_USD,MUSKAI_DIVIDENDS_USD,MUSKAI_STOCK_SPLITS_USD
2025-03-25 00:00:00+00:00,,,,0.0,2950,0.0,0.0
2025-03-26 00:00:00+00:00,,,,0.0,2312,0.0,0.0
2025-03-29 00:00:00+00:00,,,,0.0,6153,0.0,0.0
2025-04-01 00:00:00+00:00,,,,0.0,86,0.0,0.0
2025-04-04 00:00:00+00:00,,,,0.0,1567,0.0,0.0
2025-04-05 00:00:00+00:00,,,,0.0,2179,0.0,0.0
2025-04-13 00:00:00+00:00,,,,0.0,332,0.0,0.0
2025-04-15 00:00:00+00:00,,,,0.0,559,0.0,0.0
2025-04-16 00:00:00+00:00,,,,0.0,120,0.0,0.0
2025-04-20 00:00:00+00:00,,,,0.0,98,0.0,0.0
2025-04-22 00:00:00+00:00,,,,0.0,218,0.0,0.0
2025-04-27 00:00:00+00:00,,,,0.0,837,0.0,0.0
2025-04-29 00:00:00+00:00,,,,0.0,432,0.0,0.0
2025-04-30 00:00:00+00:00,,,,0.0,1469,0.0,0.0
2025-06-01 00:00:00+00:00,9.953499748591513e-14,9.953499748591513e-14,9.531999891005186e-14,9.788746419339689e-14,59,0.0,0.0
